"subject","course_code","course_name","description","credits"
"Accounting","ACC 211","Principles of Accounting I","Introduces accounting principles with respect to financial reporting. Demonstrates how decision makers use accounting information for reporting purposes. Focuses on the preparation of accounting information and its use in the operation of organizations, as well as methods of analysis and interpretation of accounting information. Lecture 3 hours per week. Credit for Prior Learning (CPL) available for this course. More information at .","3 CR."
"Accounting","ACC 212","Principles of Accounting II","Prerequisite(s): .   Introduces accounting principles with respect to cost and managerial accounting. Focuses on the application of accounting information with respect to product costing, as well as its use within the organization to provide direction and to judge performance. Lecture 3 hours per week. Credit for Prior Learning (CPL) available for this course. More information at .","3 CR."
"Accounting","ACC 215","Computerized Accounting","Prerequisite(s): .   Introduces the computer in solving accounting problems. Focuses on operation of computers. Presents the accounting cycle and financial statement preparation in a computerized system and other applications for financial and managerial accounting. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 219","Governmental and Not-for-Profit Accounting","Prerequisite(s): or equivalent.   Introduces fund accounting as used by governmental and nonprofit entities. Stresses differences between accounting principles of for-profit and not-for-profit organizations. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 220","Accounting for Small Business","Presents practical accounting procedures for small business operations including service occupations, retail stores, and manufacturing operations. Covers the accounting cycle, journals, ledgers, preparation of financial statements and payrolls, and checking account management. Includes regulations applicable to payroll, self-employment, Social Security, and other taxes. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 221","Intermediate Accounting I","Prerequisite(s): or equivalent.   Covers accounting principles and theory, including a review of the accounting cycle and accounting for current assets, current liabilities and investments. Introduces various accounting approaches and demonstrates the effect of these approaches on the financial statement users. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 222","Intermediate Accounting II","Prerequisite(s): .   Continues accounting principles and theory with emphasis on accounting for fixed assets, intangibles, corporate capital structure, long-term liabilities, and investments. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 230","Advanced Accounting","Prerequisite(s): .    Develops the skills necessary to prepare financial statements for complex business organizations. Includes the preparation of consolidated financial statements focusing on business combinations, multinational corporations, and foreign currency translation. Covers accounting for partnerships, state and local governments, and nonprofit organizations. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 231","Cost Accounting I","Prerequisite(s): or equivalent.   Studies cost accounting methods and reporting as applied to job order, process, and standard cost accounting systems. Includes cost control and other topics. Lecture 3 hours per week. Credit for Prior Learning (CPL) available for this course. More information at .","3 CR."
"Accounting","ACC 232","Cost Accounting II","Prerequisite(s): or equivalent.   Studies profit analysis and other topics. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 240","Fraud Examination","Prerequisite(s): An understanding of basic accounting and forensic activities is desirable   Covers the principles and methodology of fraud detection and deterrence. Provides an introduction to the various ways fraud and occupational abuses occur, methods to identify the risk of exposure to loss from fraud, and appropriate prevention, detection, and investigation approaches. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 241","Auditing I","Prerequisite(s): or equivalent   Presents techniques of investigating, interpreting, and appraising accounting records and assertions. Studies internal control design and evaluation, evidence-gathering techniques, and other topics. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 261","Principles of Federal Taxation I","Presents the study of federal taxation as it relates to individuals and related entities. Includes tax planning, compliance, and reporting. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 262","Principles of Federal Taxation II","Presents the study of federal taxation as it relates to partnerships, corporations, and other tax entities. Includes tax planning, compliance, and reporting. Lecture 3 hours per week.","3 CR."
"Accounting","ACC 263","Data Analytics and Statistics in Accounting","Prerequisite(s): .   Introduces the field of business analytics in accounting, finance, and business management. Focuses on the way in which enterprises such as corporations, non-profits, and governments can use data to gain insights and make better decisions. Presents the application of selected data mining techniques to support business analytics. Lecture 3 hours.","3 CR."
"","ADJ —","Forensic Elective","Check footnote for course options.","3 CR."
"","ADJ —","Homeland Security Elective","Check the footnote for details on the courses available.","3 CR."
"","ADJ —","Homeland Security Elective","Check the footnote for details on the courses available.","3 CR."
