"department","code","title","description","credits"
"Accounting (ACCTG)","ACCTG 151","Introductory Financial Accounting I","Basic concepts, principles, and practices for the recording, summarizing, and interpreting of accounting data.","3 Credits"
"Accounting (ACCTG)","ACCTG 152","Introductory Financial Accounting II","Accounting for partnerships, corporations, cash flows, certain liabilities and assets, and the analysis of financial statements.","3 Credits"
"Accounting (ACCTG)","ACCTG 197","Special Topics","Formal courses given infrequently to explore, in-depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Accounting (ACCTG)","ACCTG 199","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Accounting (ACCTG)","ACCTG 201","Introduction to Financial Accounting","This course is an introduction to the basic concepts of financial accounting including the collection, recording, summarization, and interpretation of accounting data. Emphasis in the course is placed on using financial accounting information for external decision making. Accounting theory of commonly used accounts such as cash, investments, receivables, inventory, fixed assets, payables, bonds, and stocks are studied. Students who successfully completeACCTG 211may not scheduleACCTG 201","3 Credits"
"Accounting (ACCTG)","ACCTG 202","Introduction to Managerial Accounting","This course  is a continuation ofACCTG 201(Introduction to Financial Accounting) with an in-depth analysis and explanation of the statement of cash flows and how understanding cash flows is important for all users (internal versus external).  Then, the course emphasizes the use of accounting information for internal purposes (managerial accounting). The course teaches the vocabulary and method of accumulating and allocating costs in a manufacturing company as well as the understanding of budgets and how they can be used to motivate personnel. Among the topics covered are cost behavior, cost-volume analysis, relevant costs, variance analysis, and the use of cost information for decision making (i.e. capital investment, product pricing, etc.). Current issues, careers, and topics for managerial accounting will also be addressed.  Students who passACCTG 211may not scheduleACCTG 202.","3 Credits"
"Accounting (ACCTG)","ACCTG 211","Financial and Managerial Accounting for Decision Making","Introduction to the role of accounting numbers in the process of managing a business and in investor decision making.ACCTG 211Financial and Managerial Accounting for Decision Making (4)The objective of this course is to introduce students to the discipline of accounting through an introduction to two of accounting's sub-disciplines, financial and managerial accounting. The more specific purpose is to provide students a basic understanding of the role of financial and managerial accounting information in the decisions of capital market participants external to a business enterprise (e.g., stockholders, banks, financial analysts, prospective stockholders), and in the decisions of those who manage business enterprises. Accounting information has an important role in the resource allocation process in our socio-economic system as a whole, as well as in each individual business enterprise. This course provides students an understanding of (1) the nature of the accounting function, and (2) how the information in accounting reports are used by various decision makers in their resource allocation decisions. In this course students will develop an understanding of (a) the five activity dimensions of accounting (the collection, recording, analysis, interpretation and reporting of information to decision makers for (mainly) their investment decisions), (b) the issues surrounding the five activity dimensions, (c) the environment in which accounting is practiced, and (d) what information is used in a number of specific decision situations, and how such information is used in such decision situations. The analysis, interpretation and decision-making orientation of this course includes a study of the procedural (mechanical and processing) aspects of the recording activity dimension which is an important means to the end --where the end is the analysis and interpretation of the information, and the reports produced by the recording/processing part of accounting. Through this focus on the recording activity dimension, students will obtain an understanding of (a) the nature and quality (strengths and weaknesses) of accounting information, (b) how to proceed in analyzing and interpreting accounting information, and (c) numerous other aspects of financial and managerial accounting. This course is an important background course for all business majors, as well as for numerous non-business majors.","4 Credits"
"Accounting (ACCTG)","ACCTG 211H","Financial and Managerial Accounting for Decision Making","The objective of this course is to introduce students to the discipline of accounting through an introduction to two of accounting's sub-disciplines, financial and managerial accounting. The more specific purpose is to provide students a basic understanding of the role of financial and managerial accounting information in the decisions of capital market participants external to a business enterprise (e.g., stockholders, banks, financial analysts, prospective stockholders), and in the decisions of those who manage business enterprises. Accounting information has an important role in the resource allocation process in our socio-economic system as a whole, as well as in each individual business enterprise. This course provides students an understanding of (1) the nature of the accounting function, and (2) how the information in accounting reports are used by various decision makers in their resource allocation decisions. In this course students will develop an understanding of (a) the five activity dimensions of accounting (the collection, recording, analysis, interpretation and reporting of information to decision makers for (mainly) their investment decisions), (b) the issues surrounding the five activity dimensions, (c) the environment in which accounting is practiced, and (d) what information is used in a number of specific decision situations, and how such information is used in such decision situations. The analysis, interpretation and decision-making orientation of this course includes a study of the procedural (mechanical and processing) aspects of the recording activity dimension which is an important means to the end --where the end is the analysis and interpretation of the information, and the reports produced by the recording/processing part of accounting. Through this focus on the recording activity dimension, students will obtain an understanding of (a) the nature and quality (strengths and weaknesses) of accounting information, (b) how to proceed in analyzing and interpreting accounting information, and (c) numerous other aspects of financial and managerial accounting. This course is an important background course for all business majors, as well as for numerous non-business majors.","4 Credits"
"Accounting (ACCTG)","ACCTG 285","Introduction to Cyber Fraud","This introductory-level course,ACCTG 285- Introduction to Cyber Fraud, introduces students to the various types of cybercrime that an organization or individual may face along with guidance on what to do once they are uncovered. Topics include an introduction to occupational fraud, malware, viruses, internet schemes, prevention and detection techniques, and artificial intelligence. This course is designed to support any student interested in learning about the challenges a business or individual may face as the result of technology, whether explicitly interested in accounting or not.","3 Credits"
"Accounting (ACCTG)","ACCTG 296","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Accounting (ACCTG)","ACCTG 297","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
