"subject","course_code","course_name","description","credits"
"Accounting","ACC 02314","Individual Taxation","Prerequisite Courses: with a minimum grade of D- Course Attributes: 0300 Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03150","Introduction to Business and Analytics for Financial Information","In this course students will be introduced to business data analytics and use software tools, such as Microsoft Excel, to analyze data to support business decision making. Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03210","Principles of Accounting I","This course includes accounting theory and practice in the analysis of business transactions and the recording of business data; complete accounting cycle; interpretation of financial data for sole proprietorships, partnerships, and corporations. Course Attributes: CAT, GCAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03211","Principles of Accounting II","This course includes accounting theory and practice applied to corporations; budgeting and estimating; analysis and comparison of cost and financial data. Prerequisite Courses: with a minimum grade of D- Course Attributes: CAT, GCAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03300","Supervised Internship in Accounting","This course provides accounting field experience in government, industry or non-profit organizations. Interns are given assignments that prepare them for productive employment upon graduation. The learning process is monitored by an accounting faculty member. Prerequisite Courses: with a minimum grade of D- Course Attributes: CAT, EXIN, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03301","Accounting Analytics","This course provides an introduction to accounting analytics.  Accounting data will be identified, described, extracted, transformed, and manipulated using analytical, visualization, and data storage/management technologies to solve business problems.  Students will employ ETL, (extract, transform, and load), descriptive, predictive, and exploratory analytical and visualization techniques. Prerequisite Courses: with a minimum grade of D- and with a minimum grade of D- and ( with a minimum grade of D- (may be taken concurrently) or with a minimum grade of D- (may be taken concurrently)) and ( with a minimum grade of D- or with a minimum grade of D- or with a minimum grade of D-) Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03310","Intermediate Accounting I","This course includes a review of the accounting process, the preparation of each of the financial statements - i.e., Statement of Financial Position, Statement of Income, Statement of Changes in Owner’s Equity, and Statement of Cash Flows - and the specific principles related to the accounting for current assets, current liabilities and long-term liabilities. A special section is devoted to the time value of money as related to accounting. Prerequisite Courses: with a minimum grade of C and with a minimum grade of C Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03311","Intermediate Accounting II","This course includes the accounting principles related to investments, operating assets, current and long-term liabilities and owner’s equity accounts. In addition, special topics cover accounting for leases, pensions and current value accounting. Prerequisite Courses: with a minimum grade of C- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03320","Accounting Information Systems","The course is designed to give the accounting student an introduction to the concepts and tools related to the use, development, and adaptation of computer-based accounting information systems. The course will emphasize information system analysis and design, internal controls, and technology of accounting systems.  Students will gain hands-on experience with a commercial accounting software system throughout the course. Prerequisite Courses: with a minimum grade of D-  AND ( with a minimum grade of D-  OR with a minimum grade of D- ) Course Attributes: CAT, UGRD Academic Department: Accounting & Finance",""
"Accounting","ACC 03326","Strategic Cost Analysis","This course deals with techniques and systems used for internal control. It views the cost accounting system as the connecting link between planning and control functions of management. Topics include cost accumulation procedures; job order and process cost accounting cycles, variance analysis, master and flexible budgets, cost-volume-profit analysis, and transfer pricing. Prerequisite Courses: with a minimum grade of C and with a minimum grade of C Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03405","Foundations of Accounting","This course presents an overview of accounting as an information system useful for decision making. It provides students with an understanding of the basic concepts of financial and managerial accounting from the perspective of a future user of accounting information. Course Attributes: CAT, GCAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03410","Auditing","This course introduces students to the basic concepts underlying audit and assurance services and demonstrates how to apply the concepts to these services. It studies the framework of an audit which includes pre-planning, planning, evidence gathering, considering and/or auditing internal controls, performing various audit tests, audit completion, and rendering audit opinions via audit reports, and the use of statistics and audit software in the auditing process. This course also includes the application of auditing principles and procedures through the use of audit software. Prerequisite Courses: with a minimum grade of C- and ( with a minimum grade of D- or with a minimum grade of D-) Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03411","Advanced Auditing and Analytics","This course builds on the knowledge base from Auditing (ACC 03410), to provide students with an in-depth understanding of the auditor’s legal liability, the profession’s regulatory environment, the audit process using advanced auditing techniques, the auditor’s role in ensuring that publicly issued financial statements are fairly presented, and analyzing data to determine the reasonableness of financial information.  The course will cover advanced topics concerning complex auditor judgments, data analysis, and the use of audit software tools for sampling and audit procedures. Prerequisite Courses: with a minimum grade of D- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03415","Independent Study-Accounting","Course Attributes: UGRD Academic Department: Accounting & Finance","Credits: 1 to 6"
"Accounting","ACC 03416","Advanced Accounting","This course covers concepts and accounting for business combinations, and specialized financial statement disclosures. It also covers the accounting for inter-company transfers, segment reporting, and interim reporting. It provides an overall review of generally accepted accounting principles in producing consolidated financial statements for the business and non-business organization. Prerequisite Courses: with a minimum grade of C- or ACC 02311 with a minimum grade of C- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03419","Forensic Accounting and Fraud Investigation","This course provides an introduction to forensic accounting and fraud investigation.  It examines the major causes of fraud and white-collar crime and methods to detect and prevent fraud.  Tools and systems used in detecting fraud will be discussed.  A key component of the course will allow students to understand the ethical and professional responsibility of the accounting profession as it relates to financial reporting.  The course provides students exposure to case study, analytics and critical thinking in order to confirm that financial information is presented fairly. Prerequisite Courses: with a minimum grade of C and with a minimum grade of C Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03425","International Accounting","This course provides students with exposure to the critical role of foreign and international business perspectives and enables students to understand and compare the two most commonly applied accounting standards in the world, U.S. GAAP and IFRS.  Topics covered will include IFRS, foreign currency transaction, analysis of foreign financial statements, international taxation, and transfer pricing. Prerequisite Courses: with a minimum grade of C- Course Attributes: CAT, GLBL, MCUL, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03428","Integrative Accounting Seminar","This course provides an integrative experience in which students synthesize knowledge from the accounting content areas to interpret, evaluate, and analyze financial information in order to enhance planning and decision making. The course uses case analyses to involve students in active rather than passive learning, and places emphasis on skills in analytical and critical thinking, technology, communication, and teamwork. Prerequisite Courses: with a minimum grade of C- or ACC 02311 with a minimum grade of C- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03430","Individual Taxation","This course surveys the tax structure of the United States, emphasizing the Internal Revenue code and regulations that affect federal income tax liabilities of individuals. Basic tax research and preparation skills are a consistent theme throughout the course. Prerequisite Courses: with a minimum grade of C- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03431","Taxation of Business Entities","This is an introductory course in the federal income taxation of business transactions relating to corporations, partnerships, LLCs, and estates and trusts. Students will explore tax policy issues, apply basic tax research to specific case problems, prepare common IRS forms and schedules, and develop skills necessary for effective tax planning and its impact on business decisions. Prerequisite Courses: with a minimum grade of D- or with a minimum grade of D- or with a minimum grade of D- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03432","Federal Taxation","This course introduces the principles of federal income taxation as it relates to business transactions and decision making.  Primary emphasis is on individual taxation with an overview of tax considerations and planning for business entities. Prerequisite Courses: with a minimum grade of D- Course Attributes: CAT, UGRD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03499","Accounting CPA Apprenticeship","This online course is part of the Post-Baccalaureate Accounting CPA Apprenticeship Certificate.  It is for students doing an off-site full-time accounting apprenticeship at a pre-qualified company or firm for credit. Full-time work is defined as 34 - 40 hours per week (as defined by the employing organization). The full-time hours worked over an 8-week module (total of 272 to 320 hours) will qualify for 6 CH of academic credit.  Only in those cases where a student needs fewer than 6 CH in order to reach 150 total credits will the student be awarded and charged for fewer than 6 CH for a course module.  Hours worked will be certified by the employer. Course Attributes: CAT, EXIN, UGRD Academic Department: Accounting & Finance","Credits: 1 To 6"
"Accounting","ACC 03500","Financial and Managerial Accounting","This course takes a managerial approach with emphasis on decision making. It includes financial statement analysis and topics on determination of cost behavior using regression analysis and learning curves, activity-based costing, cost allocation, performance measurement, and the decision making process. Prerequisite Courses: AC3405 with a minimum score of 2 or (AC3210 with a minimum score of 2 and AC3211 with a minimum score of 2) or with a minimum grade of C or ( with a minimum grade of C and with a minimum grade of C) Course Attributes: GCAT, GRAD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03507","Government and Not-For-Profit Accounting","This financial accounting course focuses on the contemporary accounting issues of governmental and non-profit organizations. It includes financial reporting, budgeting, forecasting and strategic planning in the environments of local, state, and federal government, colleges and universities, hospitals, and voluntary health and welfare organizations. Prerequisite Courses: with a minimum grade of D- Course Attributes: GCAT, GRAD Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03510","Financial Statement Analysis","This course will take an expanded study of financial statement analysis from the point of view of the primary users of financial statements: equity and credit analysts. The analysis and use of financial statements will also emphasize the properties of numbers derived from these statements, business and asset valuation, and the importance and use of the notes to the financial statements. Expanded data analytic skills will be emphasized. Prerequisite Courses: AC3405 with a minimum score of 2 or (AC3210 with a minimum score of 2 and AC3211 with a minimum score of 2) or with a minimum grade of C or ( with a minimum grade of C and with a minimum grade of C) Course Attributes: 0500, GCAT, GRAD, P_C Academic Department: Accounting & Finance","Credits: 3"
"Accounting","ACC 03511","Introduction to Federal Taxation","This course provides an overview of Federal income tax concepts, including gross income, deductions, credits, gains and losses from dispositions of property, deferred and tax exempt transactions, assignment of income, tax accounting, and other special topics.  Emphasis will be placed on interpreting the Internal Revenue Code and Regulations as well as case law.  Students will be required to show evidence of scholarly research through a major writing assignment on an emerging tax issue. Prerequisite Courses: AC3405 with a minimum score of 2 or (AC3210 with a minimum score of 2 and AC3211 with a minimum score of 2) or with a minimum grade of C or ( with a minimum grade of C and with a minimum grade of C) Course Attributes: GCAT, GRAD Academic Department: Accounting & Finance","Credits: 3"
