"course_code","course_title","department","credits","description"
"ACCT 2301","Principles of Financial Accounting","Accounting (ACCT)","3 Hours","Students are introduced to the fundamental concepts of financial accounting prescribed by U.S. generally accepted accounting principles (GAAP) and applied to transactions and events that affect business organizations. Topics may include the accounting cycle; the preparation of financial statements; the measurement and reporting of business income; and the valuation and presentation of assets; liabilities; and stockholders' equity. Emphasis is placed on the relevance of the business and economic information generated by the accounting process and how it is used in personal and business decision making. Students are exposed to International Financial Reporting Standards (IFRS). Students who plan to takeACCT 3313must earn a minimum grade of C inACCT 2301.Prerequisite:18 semester hours of college credit."
"ACCT 2302","Principles of Managerial Accounting","Accounting (ACCT)","3 Hours","Students are introduced to the fundamental concepts of managerial accounting appropriate for all organizations.  Students will study information from the entity's accounting system relevant to decisions made by internal managers, as distinguished from information relevant to users who are external to the company.  The emphasis is on the identification and assignment of product costs, operational budgeting and planning, cost control, and management decision-making.  Topics may include product costing methodologies, cost behavior, operational and capital budgeting, and performance evaluation. Students who plan to takeACCT 3313must earn a minimum grade of C inACCT 2302.Prerequisite:ACCT 2301."
"ACCT 3304","Managerial Accounting","Accounting (ACCT)","3 Hours","Students are introduced to further developed financial accounting concepts, interpretation, and the study of management uses of accounting data. This course includes a study of basic accounting concepts, interpretation of accounting reports, cost control and analysis, and methods of measuring performance. Non-Majors and Non-Minors only.Prerequisite:ACCT 2302."
"ACCT 3313","Intermediate Accounting I","Accounting (ACCT)","3 Hours","Students engage in a thorough study of the accounting principles underlying the preparation of financial statements. This course is concerned primarily with the recording process, formats of the financial statements, the measurement and reporting of current and non-current assets and related revenues and expenses, and the measurement and reporting of current liabilities. The course emphasizes the environment of accounting and basic accounting theory.Prerequisite:ACCT 2301andACCT 2302with a minimum grade of C in each."
"ACCT 3314","Intermediate Accounting II","Accounting (ACCT)","3 Hours","A continuation ofACCT 3313, students extend the study of the preparation of financial statements to the measurement and reporting of long-term liabilities, stockholders' equity, and investments. Additional topics may include time value of money concepts, cash flow statements, accounting for leases, income taxes, and revenue recognition.Prerequisite:ACCT 3313with a minimum grade of C."
"ACCT 3324","Accounting Information Systems","Accounting (ACCT)","3 Hours","Students study principles of accounting systems design integrated into both manual and computerized systems with an emphasis on the accounting cycle, internal control structures, computerized transaction processing systems, relational databases, and integrated enterprise resource planning systems in accounting.Prerequisite:ACCT 2301andACCT 2302."
"ACCT 3340","International Accounting","Accounting (ACCT)","3 Hours","Students are introduced to the accounting aspects of international business. Topics covered from an international perspective may include the interaction between accounting and its environment, differing national accounting practices, international harmonization of accounting and reporting, foreign currency translation and exchange rate issues, problems of inflation, transfer pricing and taxation, managerial accounting and analysis of foreign financial statements.Prerequisite:ACCT 2302."
"ACCT 3347","Cost Accounting","Accounting (ACCT)","3 Hours","Students study cost accounting principles and techniques of assembling data for product costing and for managerial use in planning and control and decision making. Cost terminology, cost behavior, job order and process costing, budgeting, cost-volume-profit analysis, standard costs, and activity based costing are topics covered.Prerequisite:ACCT 2301andACCT 2302with a minimum grade of C in each."
"ACCT 3353","Federal Taxation Concepts","Accounting (ACCT)","3 Hours","Students study the basic tax concepts and income taxation of individuals with emphasis placed on the determination of income and statutory deductions to arrive at the net taxable income. Consideration is given to tax planning as well as decision-making and tax return problems.Prerequisite:ACCT 2301andACCT 2302with a minimum grade of C in each."
"ACCT 4080","Independent Study","Accounting (ACCT)","1-3 Hours","Individual study as arranged with members of the faculty. This course may be repeated and may be taken for Academic Distinction Program Credit. Variable Credit (1-3).     Course Equivalents: ACCT 4380Prerequisite:Consent of Department Chair."
"ACCT 4085","Special Topic","Accounting (ACCT)","1-3 Hours","This course of faculty-led study is designed to provide undergraduate students exposure to new Accounting topics and concepts in a course setting. Variable credit (1-3). Course Equivalents: ACCT 4385 ."
