"subject","course_code","course_name","description","credits"
"Other Courses","SEM 100","Selected Topics","Syracuse University   Exploration of a topic (to be determined) not covered by the standard curriculum but of interest to faculty and students in a particular semester.","1-6 credit(s)  At least 1x fall or spring"
"Asian/Asian American Studies","AAA 101","Introduction to Asian/Asian-American Studies","College of Arts and Sciences   Examines how cross border transactions in Asia and between Asia and the United States and Canada have shaped ideologies and politics, markets here and abroad, marriage, labor, personal, social, political and cultural identity.","3 credit(s)  At least 1x fall or spring"
"Asian/Asian American Studies","AAA 200","Selected Topics","College of Arts and Sciences   Exploration of a topic (to be determined) not covered by the standard curriculum but of interest to faculty and students in a particular semester.  Repeatable","1-6 credit(s)  Irregularly"
"Asian/Asian American Studies","AAA 300","Selected Topics","College of Arts and Sciences   Exploration of a topic (to be determined) not covered by the standard curriculum but of interest to faculty and students in a particular semester.  Repeatable","1-6 credit(s)  Irregularly"
"Asian/Asian American Studies","AAA 307","Asian Americans and Social Stratification","College of Arts and Sciences   Crosslisted with SOC 307  Designed to familiarize the student with major issues and potential controversies in the scholarly studies as well as public perceptions of Asian American experiences in education and work.","3 credit(s)  At least 1x fall or spring"
"Asian/Asian American Studies","AAA 380","International Course","College of Arts and Sciences   Offered through SUAbroad by educational institution outside the United States. Student registers for the course at the foreign institution and is graded according to that institution’s practice. SUAbroad works with the SU academic department to assign the appropriate course level, title, and grade for the student’s transcript.  Repeatable","1-12 credit(s)  Every semester"
"African American Studies","AAS 112","Introduction to African American Studies","College of Arts and Sciences   Crosslisted with ANT 112   Historical and sociopolitical materials. Approaches to studying the African American experience, antecedents from African past, and special problems.  Shared Competencies Civic and Global Responsibility","3 credit(s)  Every semester"
"African American Studies","AAS 138","Writing About Black Culture","College of Arts and Sciences   Expository writing based on cogent analysis of African American literature, art, music, and history ideas.  Shared Competencies Civic and Global Responsibility ; Communication Skills","3 credit(s)  Every semester"
"African American Studies","AAS 200","Selected Topics","College of Arts and Sciences   Exploration of a topic (to be determined) not covered by the standard curriculum but of interest to faculty and students in a particular semester.  Repeatable","1-6 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 202","Caribbean Society Since Independence","College of Arts and Sciences   Issues of self determination and emancipation in region. From the period of the invasions of explorers after the European renaissance to the present.  Shared Competencies Civic and Global Responsibility","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 206","Introduction to African American Music","College of Arts and Sciences   This course surveys the origins and evolution of African American music. It examines how dynamics of power, race, and gender inform the creation, circulation, and performance of this music.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 207","A Survey of African Music","College of Arts and Sciences   Survey music from Morocco to South Africa using diverse media to illuminate this vast area. The concentration will be on the lifestyle of the people who create music.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 213","Africa: Ancient Times to 1800","College of Arts and Sciences   Crosslisted with HST 213  A survey of African history from ancient times to 1800. Focuses on political, social, economic, and environmental history of the continent. Themes: state formation, technology, production, trade, religion, migration, labor, slave trade, and biological exchanges.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 214","Modern Africa: 1800 - Present","College of Arts and Sciences   Crosslisted with HST 214  A survey of modern African history since 1800. Themes include nineteenth-century western images of Africa, pre-colonial changes, Western Imperialism, African anti-imperialism, colonial economic and social transformation, nationalism, cold war, decolonization, post colonial developments and changes.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 231","African American Literature to 1900: An Introduction","College of Arts and Sciences   African American literature and folklore from colonial days to 1900. Autobiographies, fiction, and poetry, including works by Wheatley, Douglass, Jacobs, Brown, Webb, Hopkins, Dunbar, Chesnutt, Dubois, Johnson, Washington.  Shared Competencies Critical and Creative Thinking ; Communication Skills","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 232","African American Literature: Twentieth and Twenty-First Centuries","College of Arts and Sciences   Survey of 20th and 21st Century African American literature (U.S. terrain).  Emphasis on aesthetics, culture and politics of Black writers and writing: 1920’s to present.  Literary and cultural frameworks of analysis.  Baldwin, Dandicat, Hurston, Morrison, Sanchez, Wilson and Wright.  Shared Competencies Ethics, Integrity, and Commitment to Diversity and Inclusion ; Critical and Creative Thinking ; Communication Skills","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 233","The Caribbean Novel","College of Arts and Sciences   Fiction in English and translation by writers from Caribbean areas, and Brazil. Historical, social, and cultural factors. Representations and concepts of gender, home, and migration. Barrett, Conde, Hodge, James, Lamming, Marshall, Roumain.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 234","African Fiction","College of Arts and Sciences   Fiction in English and translation by contemporary novelists from Africa. Thematic and conceptual approaches underscore the literary force of language and creativity. Social and literary dynamics of books and related films. Achebe, Adichie, Aidoo, Ba, Dadie, Diop, Head, Ngugi, Sembene.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 235","African American Drama","College of Arts and Sciences   African American drama from inception to present. Includes the works of playwrights such as Brown, Grimke, Hughes, Hansberry, Baldwin, Baraka, Ward, Fuller, and Wilson.","3 credit(s)  At least 1x fall or spring"
