"course_code","course_title","department","credits","description"
"ACCT 505","ACCOUNTING ESSENTIALS","Accounting (ACCT)","1.5",""
"ACCT 510","INTERMEDIATE ACCOUNTING I","Accounting (ACCT)","3",""
"ACCT 511","INTERMEDIATE ACCOUNTING II","Accounting (ACCT)","3",""
"ACCT 512","AUDITING/ACCOUNTING INFORMATION SYSTEMS","Accounting (ACCT)","3",""
"ACCT 513","INTERMEDIATE ACCOUNTING III","Accounting (ACCT)","3",""
"ACCT 601","FORENSIC ACCOUNTING PRINCIPLES","Accounting (ACCT)","3",""
"ACCT 605","PERFORMANCE MANAGEMENT AND ACCOUNTING CONTRLS","Accounting (ACCT)","3",""
"ACCT 611","DATA SCIENCE TOOLKIT I","Accounting (ACCT)","1.5",""
"ACCT 612","DATA SCIENCE TOOLKIT II","Accounting (ACCT)","1.5",""
"ACCT 624","FINANCE AND ACCOUNTING ANALYTICS","Accounting (ACCT)","3",""
"ACCT 630","CONTEMPORARY ISSUES IN FINANCIAL ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 635","FINANCIAL STATEMENT ANALYSIS","Accounting (ACCT)","3",""
"ACCT 650","LAW AND PROFESSIONAL RESPONSIBILITY","Accounting (ACCT)","3",""
"ACCT 655","TAX POLICY","Accounting (ACCT)","3",""
"ACCT 680","TAXATION OF ENTITIES","Accounting (ACCT)","3",""
"ACCT 695","INDEPENDENT RESEARCH IN ACCOUNTING","Accounting (ACCT)","1-3",""
"ACCT 697","GRADUATE ACCOUNTING INTERNSHIP","Accounting (ACCT)","3",""
"ACCT 701","ACCOUNTING ETHICS","Accounting (ACCT)","3",""
"ACCT 702","FEDERAL AND STATE GOVERNMENT ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 712","INTERNATIONAL FINANCIAL REPORTING","Accounting (ACCT)","3",""
"ACCT 720","DESIGN OF MANAGERIAL COST AND CONTROL SYSTEMS","Accounting (ACCT)","3",""
"ACCT 722","VISUAL BUSINESS INTELLIGENCE","Accounting (ACCT)","3",""
"ACCT 730","FINANCIAL STATEMENT ANALYTICS AND VALUATION","Accounting (ACCT)","3",""
"ACCT 740","ADVANCED TOPICS IN ASSURANCE SERVICES","Accounting (ACCT)","3",""
"ACCT 750","FORENSIC ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 752","ADVANCED TOPICS IN ACCOUNTING SYSTEMS","Accounting (ACCT)","3",""
"ACCT 755","GOVERNMENTAL AND NOT-FOR-PROFIT ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 770","SEMINAR IN CURRENT TOPICS IN ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 780","SUSTAINABILITY ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 797","SPECIAL TOPICS IN ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 799","INDIVIDUAL RESEARCH","Accounting (ACCT)","1-3",""
"AFST 511","TOPICS IN AFRICAN  AND AFRICAN AMERICAN STUDIES","African and African-American Studies (AFST)","3",""
"AHLT 513","CLINICAL PROGRAM PLAN & EVALUATION","Allied Health (AHLT)","3",""
"AHLT 515","FINANCIAL MANAGEMENT FOR THE ALLIED HEALTH PROFESSIONAL","Allied Health (AHLT)","3",""
"AHLT 545","RESEARCH METHODS IN ALLIED HEALTH","Allied Health (AHLT)","3",""
"AHLT 570","SPECIAL TOPICS IN ALLIED HEALTH","Allied Health (AHLT)","1-3",""
"ANTH 501","ANTHROPOLOGICAL THEORY","Anthropology (ANTH)","3",""
"ANTH 530","TOPICS IN ANTHROPOLOGY","Anthropology (ANTH)","3",""
"ANTH 564","RELIGION, MAGIC AND WITCHCRAFT","Anthropology (ANTH)","3",""
"ANTH 567","PEOPLES OF THE MIDDLE EAST","Anthropology (ANTH)","3",""
"ANTH 568","GLOBALIZATION IN CROSS-CULTURE PERSPECTIVE","Anthropology (ANTH)","3",""
"ANTH 570","SPECIAL TOPICS IN ANTHROPOLOGY","Anthropology (ANTH)","1-3",""
"ANTH 591","INTERNSHIP IN ANTHROPOLOGY I","Anthropology (ANTH)","3",""
"ANTH 592","INTERNSHIP IN ANTHROPOLOGY II","Anthropology (ANTH)","3",""
"ANTH 595","INDEPENDENT RESEARCH","Anthropology (ANTH)","3",""
"AIT 500","FUNDAMENTALS OF COMPUTER PROGRAMMING AND DATA STRUCTURES","Applied Information Technology (AIT)","6",""
"AIT 600","INFORMATION TECHNOLOGY INFRASTRUCTURE","Applied Information Technology (AIT)","3",""
"AIT 610","SYSTEMS DEVELOPMENT PROCESS","Applied Information Technology (AIT)","3",""
"AIT 612","INFORMATION SYSTEMS VULNERABILITY AND RISK ANALYSIS","Applied Information Technology (AIT)","3",""
"AIT 613","INTRODUCTION TO SOFTWARE SECURITY","Applied Information Technology (AIT)","3",""
"AIT 614","NETWORK SECURITY","Applied Information Technology (AIT)","3",""
"AIT 616","FUNDAMENTALS OF WEB TECHNOLOGIES AND DEVELOPMENT","Applied Information Technology (AIT)","3",""
"AIT 618","CLIENT/SERVER-SIDE PROGRAMMING ON THE WEB","Applied Information Technology (AIT)","3",""
"AIT 620","BUSINESS DATA COMMUNICATIONS","Applied Information Technology (AIT)","3",""
"AIT 622","NETWORKS ARCHITECTURE AND PROTOCOLS","Applied Information Technology (AIT)","3",""
"AIT 624","SOFTWARE ENGINEERING FUNDAMENTALS","Applied Information Technology (AIT)","3",""
"AIT 628","INFORMATION TECHNOLOGY AND BUSINESS STRATEGY","Applied Information Technology (AIT)","3",""
"AIT 630","INFORMATION TECHNOLOGY PROJECT MANAGEMENT","Applied Information Technology (AIT)","3",""
"AIT 632","DATABASE MANAGEMENT SYSTEMS","Applied Information Technology (AIT)","3",""
"AIT 641","SOFTWARE REQUIREMENTS ENGINEERING","Applied Information Technology (AIT)","3",""
"AIT 642","SOFTWARE TESTING AND MAINTENANCE","Applied Information Technology (AIT)","3",""
"AIT 643","ENTERPRISE ARCHITECTURE","Applied Information Technology (AIT)","3",""
"AIT 644","HEALTH INFORMATION TECHNOLOGY","Applied Information Technology (AIT)","3",""
"AIT 645","HEALTHCARE DATA ANALYTICS","Applied Information Technology (AIT)","3",""
"AIT 650","COMPUTER & NETWORK FORENSICS AND INCIDENT RESPONSE","Applied Information Technology (AIT)","3",""
"AIT 652","ETHICS, LAW AND POLICY IN CYBERSPACE","Applied Information Technology (AIT)","3",""
"AIT 655","MANAGING INFORMATION SECURITY","Applied Information Technology (AIT)","3",""
"AIT 660","MOBILE DEVICE FORENSICS","Applied Information Technology (AIT)","3",""
"AIT 665","CLOUD COMPUTING","Applied Information Technology (AIT)","3",""
"AIT 670","SPECIAL TOPICS IN APPLIED INFORMATION TECHNOLOGY","Applied Information Technology (AIT)","3",""
"AIT 695","INDEPENDENT STUDY IN APPLIED INFORMATION TECHNOLOGY","Applied Information Technology (AIT)","3",""
"AIT 697","GRADUATE INTERNSHIP","Applied Information Technology (AIT)","3",""
"AIT 710","CASE STUDIES IN INFORMATION SECURITY","Applied Information Technology (AIT)","3",""
"AIT 715","CASE STUDIES IN INTERNET APPLICATIONS","Applied Information Technology (AIT)","3",""
"AIT 720","CASE STUDIES IN NETWORKING TECHNOLOGY","Applied Information Technology (AIT)","3",""
"AIT 725","CASE STUDIES IN SOFTWARE ENGINEERING","Applied Information Technology (AIT)","3",""
"AIT 730","CASE STUDIES IN INFORMATION SYSTEMS","Applied Information Technology (AIT)","3",""
"AIT 732","ADVANCED DATABASE MANAGEMENT SYSTEMS","Applied Information Technology (AIT)","3",""
"AIT 735","CASE STUDIES IN DATABASE MANAGEMENT SYSTEMS","Applied Information Technology (AIT)","3",""
"AIT 740","CASE STUDIES ON HEALTHCARE INFORMATION TECHNOLOGIES","Applied Information Technology (AIT)","3",""
"AIT 745","CASE STUDIES IN COMPUTER FORENSICS","Applied Information Technology (AIT)","3",""
"AIT 790","RESEARCH METHODOLOGY, IT TECHNICAL WRITING AND PRESENTATION","Applied Information Technology (AIT)","3",""
"AIT 880","GRADUATE PROJECT","Applied Information Technology (AIT)","3-6",""
"AIT 885","PROJECT CONTINUUM","Applied Information Technology (AIT)","1",""
"AIT 890","PRE-DISSERTATION RESEARCH ROTATION","Applied Information Technology (AIT)","3-6",""
"AIT 895","DOCTORAL INDEPENDENT STUDY","Applied Information Technology (AIT)","3-6",""
"AIT 997","DISSERTATION","Applied Information Technology (AIT)","3-6",""
"AIT 999","DISSERTATION CONTINUUM","Applied Information Technology (AIT)","1",""
"ART 500","CERAMIC RAW MATERIALS","Art  (ART)","3",""
"ART 507","MATERIALS: CONCEPT AND PROCESS","Art  (ART)","3",""
"ART 508","CERAMICS: SCULPTURE","Art  (ART)","3",""
"ART 513","ELECTROFORMING AND ENAMELING","Art  (ART)","3",""
"ART 514","ADVANCED STUDIO","Art  (ART)","2-3",""
"ART 515","ADVANCED STUDIO","Art  (ART)","2-3",""
"ART 516","ADVANCED STUDIO","Art  (ART)","2-3",""
"ART 534","PHOTO IMAGING - CONCEPTS I","Art  (ART)","3",""
"ART 536","PHOTO IMAGING - PORTFOLIO","Art  (ART)","3",""
"ART 543","INTERACTIVE MEDIA: THEORY AND APPLICATION","Art  (ART)","3",""
"ART 547","SCREEN PROCESS II","Art  (ART)","3",""
"ART 549","RELIEF PROCESS II","Art  (ART)","3",""
"ART 553","LITHOGRAPY PROCESS II","Art  (ART)","3",""
"ART 555","NEW DIRECTIONS IN PRINTMAKING","Art  (ART)","3",""
"ART 556","ARTIST BOOKS","Art  (ART)","3",""
"ART 557","GRAPHIC DESIGN III","Art  (ART)","3",""
"ART 561","DIGITAL OBJECT DESIGN II","Art  (ART)","3",""
"ART 573","ILLUSTRATION II","Art  (ART)","3",""
"ART 578","NEW DIRECTIONS IN PAINTING, EXPERIMENTAL MEDIA AND ART I","Art  (ART)","3",""
"ART 602","ELEMENTS OF VISUAL DESIGN","Art  (ART)","3",""
"ART 608","GRADUATE CERAMICS I","Art  (ART)","3",""
"ART 610","FOUNDATIONS OF USER EXPERIENCE (UX) DESIGN","Art  (ART)","3",""
"ART 611","GRADUATE DRAWING I","Art  (ART)","3",""
"ART 614","GRADUATE STUDIO","Art  (ART)","2-3",""
"ART 615","GRADUATE STUDIO","Art  (ART)","2-3",""
"ART 616","GRADUATE STUDIO","Art  (ART)","2-3",""
"ART 620","USER EXPERIENCE (UX) TYPOGRAPHY","Art  (ART)","3",""
"ART 622","GRADUATE EXHIBITION DESIGN","Art  (ART)","3",""
"ART 629","GRADUATE PAINTING I","Art  (ART)","3",""
"ART 630","WATERCOLOR","Art  (ART)","3",""
