"subject","level","description","course_code","course_name","credits"
"Aerospace Engineering","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This is a freshman-level seminar course offered every Fall semester consisting of general-audience lectures by leading practitioners of aerospace engineering from the Bay Area and beyond. This seminar will be coordinated by a faculty member in charge of identifying and scheduling the speakers.","AERO ENG 1","Aerospace Engineering 1 Seminar","1 Unit"
"Aerospace Engineering","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This is a freshman-level seminar course offered every Spring semester that showcases aerospace-related research by the UC Berkeley campus engineering and scientific community (including Lawrence Berkeley National Laboratory and the Space Sciences Laboratory). This seminar will be coordinated by one of the faculty who will be in charge of scheduling the speakers.","AERO ENG 2","Aerospace Engineering 2 Seminar","1 Unit"
"Aerospace Engineering","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course introduces mathematical engineering concepts and a wide range of analysis and design techniques of relevance to aerospace engineering via approximately 3-week modules covering the following topics: dynamics and control of a small quad-rotor aircraft; dynamics of elliptic, hyperbolic, and parabolic orbits, including rendezvous of objects in the same circular orbit; control volume analysis of a rocket engine; sling-shot effect to drive","AERO ENG 10","Introduction to Aerospace Engineering Design","4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Spring 2023The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.","AERO ENG 24","Freshman Seminars","1 Unit"
"Aerospace Engineering","Undergraduate","Terms offered: Spring 2025Organized group study on various topics selected by lower division students under the sponsorship and direction of a member of the Aerospace Engineering faculty.","AERO ENG 98","Supervised Group Study and Research","1 - 4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Fall 2025This capstone course challenges students to integrate their aerospace knowledge to design, analyze and build a system for an aerospace mission. Students can choose to focus on astronautical satellite systems or aeronautical drone systems. The course covers topics including structures, materials and environments, orbital and flight mechanics, attitude determination, stability and control, aeronautical and astronautical propulsion, aerodynamics, communications, and systems","AERO ENG 100","Aerospace Capstone","4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course introduces flight mechanics and a wide range of analysis and design techniques of relevance to the flight and performance characteristics of aerospace vehicles. The course consists of 6 major modules with the following topics: introduction, flow types, lift and drag, aircraft performance, stability and control, and, prominently, space flight. The entire course is enriched with numerous practical examples from real life that help to","AERO ENG C162","Introduction to Flight Mechanics","3 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Fall 2024This course introduces the theory of compressible flows (gases) and the mathematics representation of different flow regimes. Students will learn about the governing equations of general compressible flows and special cases such as inviscid and irrotational flows. The course will cover the following topics: 1D-flow, converging-diverging nozzle, normal and oblique shock definitions and practical examples for aerospace applications, Mach waves, wave equation, shock tube","AERO ENG C166","Introduction to Compressible Flow","3 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Spring 2025This course introduces engineering students to the analysis and design of load-bearing components of flight structures, ranging from subsonic aircraft to rockets. Emphasis is placed on the quasi-static and dynamic analysis of structural components which are prevalent in aerospace engineering. Attention is also devoted to a comprehensive design roadmap of flight vehicle structures from the full system- to the individual component-level","AERO ENG C184","Flight Vehicle Structures and Aeroelasticity","3 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Spring 2025This course covers current topics of interest in Aerospace Engineering. Topics and content may vary semester to semester.","AERO ENG 193","Special Topics in Aerospace Engineering","1 - 4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Fall 2025This course explores the intersection of space and national security policy, focusing on the impacts of the evolving strategic environment in space. Students examine the key actors, technologies, and policy frameworks that shape the role of space in the global economy and in modern defense. Topics include: satellite technologies, the militarization of space, the role of private industry in the domain, and governance challenges posed by emerging technologies. The course","AERO ENG C193P","The Final Frontier? Space Technology and National Security Policy","4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Prior to 2007Undergraduate students in good academic standing who have completed a satisfactory number of science and engineering courses may pursue original honors research under the supervision of a faculty member. A minimum of 3 units ofAERO ENG H194may be considered as equivalent to one technical elective course in the Aerospace Engineering major subject to the approval of the Director of Aerospace Engineering programs in the College of Engineering.","AERO ENG H194","Honors Undergraduate Research","2 - 4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Prior to 2007Undergraduate students in good standing who have completed a satisfactory number of science and engineering courses may pursue original research under the supervision of a faculty member. A minimum of 3 units ofAERO ENG 196may be considered as equivalent to one technical elective course in the Aerospace Engineering major subject to the approval of the Director of Aerospace Engineering programs in the College of Engineering.","AERO ENG 196","Undergraduate Research","2 - 4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Prior to 2007Supervised field experience relative to specific aspects of practice in aerospace engineering. Under guidance of a faculty member, the student will work in government or industry, primarily in an internship setting or related type of short-time project. Emphasis is placed on attaining practical experience in the aerospace engineering field.","AERO ENG 197","Undergraduate Aerospace Engineering Field Studies","0.5 - 4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Spring 2025, Fall 2024, Spring 2024Group study of a selected topic or topics in Aerospace Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions.","AERO ENG 198","Directed Group Study for Advanced Undergraduates","1 - 4 Units"
"Aerospace Engineering","Undergraduate","Terms offered: Prior to 2007Undergraduate students in good standing who have completed a satisfactory number of science and engineering courses may pursue supervised independent study under the supervision of a faculty member.","AERO ENG 199","Supervised Independent Study","1 - 4 Units"
"Aerospace Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership","AEROSPC 1A","Foundations of the U.S. Air Force","1 Unit"
"Aerospace Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023A survey course designed to introduce cadets to the U.S. Air Force and the Air Force Reserve Officer Training Corps (AFROTC). Featured topics include the history and structure of the U.S. Air Force, the Air Force’s capabilities, career opportunities, benefits, Air Force installations, and communications skills. Additionally, AFROTC cadets must attend Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force","AEROSPC 1B","Foundations of the U.S. Air Force","1 Unit"
"Aerospace Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict","AEROSPC 2A","The Evolution of Air and Space Power","1 Unit"
"Aerospace Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like","AEROSPC 2B","The Evolution of Air and Space Power","1 Unit"
"Aerospace Studies","Undergraduate","Terms offered: Fall 2025, Spring 2025, Fall 2024Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses. It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership","AEROSPC 100","Leadership Laboratory","0.0 Units"
"Aerospace Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written assignments","AEROSPC 135A","Leadership Studies","3 Units"
