"code","level","title","credits","college","description"
"MUS CS105MR","","1960S MUSICAL REVOLUTIONARIES: MILES DAVIS, JIMI HENDRIX, YOKO ONO, AND KARLHEINZ STOCKHAUSEN","0 - None","College of Creative Studies","Delves into the iconic 1960s, exploring the revolutionary impact of major figures Miles Davis, Jimi Hendrix, Yoko Ono, and Karlheinz Stockausen in their particular and overlapping domains. It offers a mix of music history and performative collaboration, welcoming students from all disciplines, regardless of their musical background. "
"BL ST216","","1968 in Global Perspective","4 - None","College of Letters and Science","Examines the series of ideas that Black people and other activists around the world developed and advanced in the 1960s that reached fruition in 1968. It examines the political protests, criticality, and art of the United States, Mexico, France, Argentina, and Eastern Europe that emerged in a quest for freedom that crossed geographical lines. Explores what lessons in intersubjectivity 1968 can teach us today."
"ARTHI134I","","20C Japanese Arts and Visual Culture","4 - None","College of Letters and Science","Exploration of a wide array of Japanese modern and contemporary visual culture in Japan. Emphasis on cultural cross-pollination and global interchange amidst shifting media environments. Topics may vary by year."
"CH ST132","","A History of Chicana/o Education","4 - None","College of Letters and Science","A theoretical and empirical overview of Chicana/o educational issues in the United States. Special emphasis on analyzing the ways in which race, gender, class, and immigrant status affect Chicana/o educational attainment and achievement."
"HIST170A","","A History of Social Policy in the United States","4 - None","College of Letters and Science","Study of the indentification, formation, and consequences of social policy in the United States over the past 200 years. Policies toward poverty, civil rights, family and population, health, education, crime, religion, and urban development are studied, among others."
"HIST170B","","A History of Social Policy in the United States","4 - None","College of Letters and Science","Study of the identification formation, and consequences of social policy inthe U.S. over the past 200 years. Policies toward poverty, civil rights, family and population, health, education, crime, religion, and urban development are studied, among others."
"HIST144F","","A History of the U.S.-Mexico Border Through Film","4 - None","College of Letters and Science","Using historical and contemporary films, this class examines and analyzes interpretations of the U.S.-Mexico border as well as the myriad of characters who roam the borderlands, including migrants, border patrol agents, smugglers, and humanitarians. The films include English- and Spanish-language popular films, independent films, and documentaries."
"PSY229","","A Patient-based Approach to Cognitive Neuroscience","4 - None","College of Letters and Science","Functional deficits in neurologic patients are critical sources of insight for establishing basic cognitive principles. This course will examine patient based discoveries with a goal of integrating them with insights from complementary methods of cognitive neuroscience."
"CH ST281A","","A People's History of Los Angeles: Race, Class, and Resistance in the City","4 - None","College of Letters and Science","The history of Los Angeles from the perspective of people of color, women, queer people, and working-class people. Brown-black relations and contemporary social movements in Los Angeles will be especially emphasized."
"INT186AH","","A place, a grape, and a love story:  the science behind the perfect pairing of Santa Barbara and Pinot Noir ","1 - None","College of Letters and Science","Thin-skinned.  Temperamental.  Complex.  Such is the vitis vinifera grape variety Pinot Noir.  This sought-after fruit demands exact, specific circumstances in order to thrive.  In particular, the cool viticultural regions of Santa Barbara are an ideal fit.  The high cost of maintaining Pinot Noir vineyards means that all production decisions are important.  The aim of this course is to scientifically link growing conditions, agricultural interventions, and winemaking processes to the profile of local Pinot Noirs.  In honor of the 20th anniversary of the movie Sideways, we will examine how its praise of SB Pinot Noir has affected consumers and winemakers alike."
"MATH111C","","Abstract Algebra","4 - None","College of Letters and Science","Fields, field extensions, Galois theory."
"MATH111B","","Abstract Algebra","4 - None","College of Letters and Science","Ring theory, ideals, factorization. Examples include number rings and polynomial rings. Module theory if time permits."
"MATH111A","","Abstract Algebra","4 - None","College of Letters and Science","An introduction to group theory, focusing on finite groups. Basic algebraic concepts including homomorphisms, normal subgroups, quotients, direct products and group actions. Classification of finitely generated Abelian groups. Other topics such as semidirect products and Sylow theorems as time permits."
"INT191I",""," Academic Affairs Internship","2 - None","College of Letters and Science","The Academic Affairs Internship provides an opportunity for undergraduate students to develop professional skills while also learning about careers in higher education administration, including opportunities here on the UC Santa Barbara campus. The internship focuses on the development of professional, administrative, and leadership skills. Two unique components of this program are the moderated panels and networking events with current staff, as well as Q+A sessions with campus senior officers and administrators. Internship participants will also receive mentorship from staff in addition to completing a group project."
"ED222B","","Academic and Cognitive Characteristics of Students with Mild Disabilities","4 - None","Graduate School of Education","Study of the academic and cognitive characteristics of children who are at risk or have mild disabilities. Interventions for these students will also be covered."
"C LIT592","","Academic Presentation and Writing in World Literature","0 - None","College of Letters and Science","Focus on presentations at scholarly meetings and writing for publication in scholarly journals in comparative/world literature. Individualized meetings or small-group workshop format."
"LING10","","Academic Reading Across the Curriculum","4 - None","College of Letters and Science","Focuses on interrelations between reading and writing in academic content areas across the curriculum. Through engagement with readings in humanities, social sciences and sciences, the course provides essential reading strategies and skills for developing comprehension, genre awareness, and critical thinking."
"WRIT251","","Academic Research Writing","4 - None","College of Letters and Science","Study of and instruction in the writing of graduate academic documents, including proposals, theses, course papers, articles for publication, and C.V.'s. Emphasis on writing clearly and mastering disciplinary conventions."
"WRIT2LK","","Academic Writing","5 - None","College of Letters and Science","A writing course focusing on developing analytical skills, synthesizing multiple sources, sustaining coherent arguments, and revising for clarity of style. This course is taught in conjunction with a specified companion course in such areas as classics, music, psychology, sociology. Readings and assignments are related to the subject matter of the companion course."
"WRIT2","","Academic Writing","5 - None","College of Letters and Science","A writing course focusing on developing analytical skills, synthesizing multiple sources, sustaining coherent arguments, and revising for clarity of style. Reading and writing assignments are drawn from a range of academic disciplines."
"WRIT2E","","Academic Writing for Engineers","4 - None","College of Letters and Science","A writing course focusing on developing analytical skills, synthesizing multiple sources, sustaining coherent arguments, and revising for clarity of style. Reading and writing assignments are drawn from a range of engineering disciplines."
"WRIT501","","Academic Writing Instruction Theory and Practice","0 - None","College of Letters and Science","Preparatory orientation and concurrent training in composition theory and pedagogy for newly appointed Writing Program teaching assistants. Topics include theories of composition pedagogy, academic literacies, principles of instructional design and curriculum development, effective classroom practices, and assessment of student writing."
"SPAN2HY","","Accelerated Elementary Spanish I","5 - None","College of Letters and Science","Face-to-face classroom contact combined with online work. SPAN 2HY and 3HY form a two-course series equivalent to the SPAN 1, 2, 3 Elementary Spanish series. Intended for students with at least 2 years of high school Spanish."
"SPAN3HY","","Accelerated Elementary Spanish II","5 - None","College of Letters and Science","Continuation of Span 2HY in areas of grammar and basic language skills. Face-to-face classroom contact combined with online work. SPAN 2HY and 3HY form a two-course series equivalent to the SPAN 1, 2, 3 Elementary Spanish series."
"MUS235C","","Accompanying Techniques and Repertoire","2 - None","College of Letters and Science","Emphasizes advanced accompaniment techniques, the intensive study of the French and German song cycle, secco recitative, and orchestral score-reading."
"MUS235A","","Accompanying Techniques and Repertoire","2 - None","College of Letters and Science","Emphasizes advanced accompaniment techniques, the intensive study of the French and German song cycle, secco recitative, and orchestral score-reading."
"MUS235B","","Accompanying Techniques and Repertoire","2 - None","College of Letters and Science","Emphasizes advanced accompaniment techniques, the intensive study of the French and German song cycle, secco recitative, and orchestral score-reading."
"HIST111F","","Achaemenid Persia, 559-330BCE","4 - None","College of Letters and Science","History of the Persian Empire from its formation under Cyrus II of Anshan (r. 559-530 BCE) to the conquests of Alexander III of Macedon (356-323 BCE)."
"LING265","","Acquisition of Grammar","4 - None","College of Letters and Science","Theories, methods and cross-linguistic data in language acquisition; focus on grammar. Evaluation of current theoretical controversies concerning the mechanisms and bases--biological, cognitive, and social--of language acquisition."
"FAMST102","","Acting and Directing Workshop","4 - None","College of Letters and Science","Designed as an introduction to the fundamentals and interaction of acting and directing in the creative process of producing a film or video. Every student will write, perform in, direct, and record on video a short work."
"MUS154","","Acting for Singers","3 - None","College of Letters and Science","Study of techniques and practice of acting on the stage for singers as preparation for performing operatic roles, in lecture and workshop settings."
"MUS254","","Acting for Singers","3 - None","College of Letters and Science","Study of techniques and practice of acting on the stage for singers as preparation for performing operatic roles, in lecture and workshop settings."
"MUS54","","Acting for Singers","3 - None","College of Letters and Science","Study of techniques and practice of acting on the stage for singers as preparation for performing operatic roles, in lecture and workshop settings."
"THTR14","","Acting Workshop","3 - None","College of Letters and Science","Exploration, performances, and criticism of scenes from a broad range of dramatic scripts with focus on the actor's perspective. Practical skills are taught to make the physical exploration of the text a valid exercise."
"PHIL149","","Action Theory","4 - None","College of Letters and Science","An examination of philosophical topics connected with human action, e.g. the role of intentions and desires in the explanation and justification of action and the nature of practical reason."
"PHIL249G","","Action Theory","4 - None","College of Letters and Science","An examination of philosophical topics connected with human action, e.g. the role of intentions and desires in the explanation and justification of action and the nature of practical reasons."
"SOC134A","","Activism","4 - None","College of Letters and Science","Explores the phenomenon and experience of activism - the effort by ordinary people to make deep social change - both in the United States and on a global level, with an emphasis on recent and current events."
"ANTH102","","Activist Anthropology","4 - None","College of Letters and Science","Activist scholarship seeks to combine rigorous research and political commitment to achieve empirical and theoretical understanding of social processes. While open access to information has democratized knowledge production, academic work is still necessary to ask the questions and find the answers to address social injustice and inequality. In this course, we explore the methods and results of more than two decades of activist research."
"GEOG211C","","Activity and Travel Behavior Analysis","4 - None","College of Letters and Science","Time-use, activity analysis, travel behavior in space, time, and social context. Cross-sectional and longitudinal data collection and analysis with emphasis on using time, travel, technology, information, and telecommunication. Applications using simultaneous equations, multilevel, latent class, and structural equations models."
"PSTAT172A","","Actuarial Statistics I","4 - None","College of Letters and Science","Probabilistic and deterministic contingency mathematics in life and health insurance, annuities, and pensions. Topics include: survival distributions and life tables, life insurance, life annuities, net premiums, net premium reserves."
"PSTAT172B","","Actuarial Statistics II","4 - None","College of Letters and Science","Net premium reserves, multiple life functions, multiple decrement models, valuation theory for pension plans, insurance models including expenses, nonforfeiture benefits and dividends."
"THTR250AD","","Adaptation","4 - None","College of Letters and Science","Adaptation and translation for the stage: Including work from other genres like prose, film, opera, song, poetry, myth, or plays written in a previous era. Also works from other languages, especially Spanish). The original source should be text-based. Students read variations of ANTIGONE, MEDEA, DON JUAN and other adaptations. The final project consists of a play or performance piece at least forty pages in length, not necessarily the finished product, but perhaps the beginning of a much larger work"
"PSY594DC","","Adaptionist Modeling","3 - None","College of Letters and Science","Natural selection creates machines that are improbably good at solving reproductive problems. Knowledge of the problems recurrently faced by human ancestors can therefore give psychologists useful clues as to the likely design features of the mind. But how exactly does one do this psychological reverse engineering? That is, given a problem, how can one go about identifying what a good solution would look like? Topics will include basic decision theory, evolutionary game theory, signaling theory, reinforcement learning, Bayesian reasoning, and other approaches. Students will learn the basic logic of these approaches, discuss applications to psychology, and use these approaches to generate novel hypotheses."
"ECE245","","Adaptive Algorithms for Data Analysis and Modeling","4 - None","College of Engineering","Theory and analysis of adaptive filters. Optimal filtering, linear prediction, method of least squares. Steepest-descent and newton search methods, gradient estimation, LMS adaptive algorithm, recursive least squares. Gradient and least squares lattice algorithms for joint-process estimation. Convergence analysis, stability conditions, time constants, misadjustment."
"ECE249","","Adaptive Control Systems","4 - None","College of Engineering","Models of plants with unknown parameters. Boundedness properties of parameter update laws. Adaptive linear control. Stability and robustness tomodeling errors and disturbances. Backstepping state-feedback design of direct adaptive nonlinear control. Output feedback design. Nonlinear swapping. Indirect adaptive nonlinear control."
"MS143","","Adaptive Leadership","2 - None","College of Letters and Science","Learn about small unit leadership dynamics between officers and noncommissioned officers and apply principles of war in a historical battle analysis setting. Learn about financial management, awards processing and installation support services."
"ARTHI143E","","Adaptive Reuse and Art","4 - None","College of Letters and Science","Most public places, buildings, galleries, and museums are transformed to varying degrees over the course of their history. This lecture explores how contemporary architects and artists rethought and repurposed historic structures."
"MATRL289O","","Additive Manufacturing","3 - None","College of Engineering","Additive manufacturing (AM) encompasses processing techniques that fabricate three-
dimensional objects from computer-generated designs through sequential material deposition. This
course will provide an overview of current additive manufacturing processes, explore the principles and
models for each process, with an emphasis on material evolution during processing. We will discuss
process limitations and challenges, as well as process selection considerations. Additionally, we will
review current state-of-the-art in process development, applied AM research, and materials
development for AM."
"ED263","","Adolescent Development and Learning","4 - None","Graduate School of Education","An introduction to psychological principles of learning and development of the adolescent. Explores dimensions of development indicative of adolescence, and the ways in which development and learning are interwoven with social and cultural contexts in the educative process."
