subject,code,credits,title,Description
AAEC - Agricultural and Applied Economics,AAEC 2580, 3 hours.,Applied Microeconomic Principles,"Economic decisions of consumers and producers are studied, with an emphasis on government policies such as taxes, subsidies, trade barriers, and income redistribution. Efficiency vs. equality and benefits vs. costs of government interventions are common themes. Market failures and contemporary issues in agricultural, energy, environmental, and international economics are covered."
AAEC - Agricultural and Applied Economics,AAEC 2580E, 3 hours.,Applied Microeconomic Principles,"Individual consumer and producer behavior in a market economy using economic principles to analyze and solve problems in resource allocation, food production, distribution, environmental management, economic development, and international trade."
AAEC - Agricultural and Applied Economics,AAEC 2710, 3 hours.,Food Fights: Analysis of Global Food Policy Issues,Exploration of issues in the global food system through the lens of social science analysis. The course will follow a case study approach. Each case study will introduce a basic policy issue and present economic and social trade-offs for students to analyze. Example cases include: Is fair trade really more fair? Would cutting back food waste reduce world hunger? Should we use food to fuel our cars? Is agriculture a climate change victim or perpetrator?
AAEC - Agricultural and Applied Economics,AAEC 3010, 3 hours.,Farm Organization and Management,The study of individual farm programs for the purpose of determining methods to be used for increasing farm income.
AAEC - Agricultural and Applied Economics,AAEC 3020E, 3 hours.,Analytical and Computational Tools for Applied Economics,"This course is designed to teach analytical and computational tools for applied economics. These tools and concepts include partial derivation, constrained optimization, integration, spreadsheet analysis, and statistical modeling."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 3020, 3 hours.,Analytical and Computational Tools for Applied Economics,"Designed to teach analytical and computational tools for applied economics. These tools and concepts include partial derivation, constrained optimization, integration, spreadsheet analysis, and statistical modeling."
AAEC - Agricultural and Applied Economics,AAEC 3040, 3 hours.,Agribusiness Marketing,Agribusiness marketing for farm products describing and analyzing agribusiness marketing functions to have a comprehensive understanding of the principles of agribusiness marketing.
AAEC - Agricultural and Applied Economics,AAEC 3100, 3 hours.,Food and Fiber Marketing,"Study of the marketing process; concepts and tools for management of essential marketing decisions. Course will draw on consumer choice and demand analysis, marketing, and case studies."
AAEC - Agricultural and Applied Economics,AAEC 3200, 3 hours.,Selling in Agribusiness,"Sales and merchandising techniques appropriate for agricultural selling and marketing. The psychology of selling, the selling process, spatial marketing strategies, and communication skills are emphasized, as used in agribusiness."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 3300S, 3 hours. Repeatable for maximum 6 hours credit.,Outreach and Service-Learning in Applied Economics,"An overview of outreach and service-learning in applied economics. Students participate in a guided study and practice in developing and implementing applied economics educational programs for the public in local communities across the State of Georgia, which includes identifying needs, establishing objectives, as well as designing and evaluating educational programs in applied economics."
AAEC - Agricultural and Applied Economics,AAEC 3400, 3 hours.,Introduction to Agricultural Policy,"Domestic and international government policies affecting agriculture, agribusinesses, and rural economies. Policy alternatives aimed at solving economic and environmental problems of the food and agricultural sector are identified and evaluated."
AAEC - Agricultural and Applied Economics,AAEC 3580-3580L, 4 hours. 3 hours lecture and 2 hours lab per week.,Intermediate Economic Principles,Competitive and imperfect markets in the allocation of consumer goods and input factors in the free enterprise economy.
AAEC - Agricultural and Applied Economics,AAEC 3580E, 4 hours.,Intermediate Economic Principles,Competitive and imperfect markets in the allocation of consumer goods and input factors in the free enterprise economy.
AAEC - Agricultural and Applied Economics,AAEC 3581E, 1 hour. 2 hours lab per week.,Intermediate Economic Principles Laboratory Online,Lab for competitive and imperfect markets in the allocation of consumer goods and input factors in the free enterprise economy.
AAEC - Agricultural and Applied Economics,AAEC 3600, 3 hours.,Economics of Food Policy,"Domestic food policies, focusing on post-farm issues facing manufacturers, distributors, retailers, and consumers. Students will learn how to think like an economist in analyzing the broad array of food policies in the United States. Students will engage in discussions pertaining to real-world, current food policy proposals."
AAEC - Agricultural and Applied Economics,AAEC 3690, 4 hours.,Agribusiness Finance,"Financial concepts and analysis related to agribusiness firms, including analysis based on financial statements, business and financial risk, valuation, and capital budgeting."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 3910, 3 hours. Repeatable for maximum 6 hours credit.,Internships,"Educational experience gained while performing an internship for an agribusiness, governmental, environmental management, or natural resource agency or organization."
AAEC - Agricultural and Applied Economics,AAEC(ENVM)(FHCE)(AFST)(ADSC) 3911, 1-3 hours. Repeatable for maximum 6 hours credit.,International Agribusiness and Environmental Management,"Directed group field studies of selected international economic topics in agribusiness, agriculture, and environmental economics."
AAEC - Agricultural and Applied Economics,AAEC 3912E, 3 hours. Repeatable for maximum 12 hours credit.,Virtual Study Away Experience in Greek International Agribusiness and Environmental Management,"Exploration of topics relating to international agribusiness and environmental management. Combines in-depth study with first-hand live virtual experience gained by interacting with speakers and collaborators from the host destination. Throughout the course, the students will work in teams to identify a challenge related to a topic of interest, and they will research and present some unique ways to deal with this challenge."
AAEC - Agricultural and Applied Economics,AAEC 3980E, 3 hours.,Introduction to Agribusiness Management,"Managerial concepts, procedures, and techniques in agribusiness management. Techniques of planning, organization, staffing, directing, and controlling functions of management."
AAEC - Agricultural and Applied Economics,AAEC 3980, 3 hours.,Introduction to Agribusiness Management,"Managerial concepts, procedures, and techniques in agribusiness management. Techniques of planning, organization, staffing, directing, and controlling functions of management."
AAEC - Agricultural and Applied Economics,AAEC 4040-4040L, 4 hours. 3 hours lecture and 2 hours lab per week.,Applied Statistics for Business Decisions,"Hands-on data analysis and statistics using Excel, geared toward business applications. Covers organizing and visualizing data, descriptive measures, hypothesis tests, regression, and forecasting."
AAEC - Agricultural and Applied Economics,AAEC 4050/6050, 3 hours.,Agribusiness Law,"Students will survey legal principles applying to agribusiness firms, legal basics, and how to access legal materials. Students will learn how to discern rights and obligations regarding contracts, business instruments, torts, property, and nuisance. The materials should enable students to recognize and avoid legal problems and effectively use legal counsel."
