"code","level","title","credits","subject","description"
"MADR3026","Undergraduate","100% Made in Spain: Design and Quality",3,"TOIP - Global Programs and Strategic Alliance","This course focuses on the aesthetic and cultural changes in consumers and the ability of the Made in Spain managers to fine tune their marketing, communications, branding, and retailing efforts to an increasingly fast-paced environment. The course provides students with an extensive preparation on what are the most important asset of Made in Spain products: their ability to represent a paradigm shift. The course explores the evolutionary phenomena of the four F's (fashion and footwear, food and wines, furniture and building materials, and fabricated metal products and machinery) as well as design, renewable energy, railway construction, e-commerce, and other industrial sectors. The course will lead students to understand the evolutionary strategic Made in Spain management and philosophy.

The Spain Brand has appreciably revalued in the last four years (Repsol, Telefónica, Acciona, Endesa), thanks above all to the presence of Spanish products throughout the world and in all areas of activity, of which we lead in at least a dozen.

The internationalization accomplished by Spanish companies has allowed them to have a leading position (among the first ten countries in the world) in the food industry, fashion, gastronomy, technology, research, renewable energy, railway construction, organ transplantation, and sports.

From Antoni Gaudí to the Culdesac studio, including Óscar Tusquets and Nani Marquina, Spain has always been a benchmark for quality design with international projection. This course looks at Made in Spain from both an economic and business point of view and shows a brief tour of the world of national designers and some of its most emblematic pieces.

The Spanish fashion industry plays a fundamental role in economic development, with around 19,500 companies that make a contribution to GDP of 2.8%, and in the context of a highly competitive globalized market. As a result, Spain achieves the fifth place in importance in Europe after Italy, Germany, the United Kingdom, and France, both in production volume and in employment. This is due in large part to the design of products with high added value, leather and footwear accessories, and the use of modern marketing and distribution techniques that have revolutionized the sector.
"
"GCC5024","Graduate","11 Billion People: How long can the planet sustain humanity?",3,"TUED - Undergraduate Education Administration","As an evolved animal, humanity has always interacted with its environment, both through the ecology of its food web and through its modification of its geological surroundings. Yet the human ecological niche, and the breadth of its impact on the environment, has changed enormously through the biological and cultural evolution of our lineage, from our first two-legged ancestor; to the appearance of our own species, Homo sapiens; to the diversification of the hunter-gatherer adaptation at the end of the Pleistocene; to the invention of agriculture and animal husbandry in the Holocene; to the rise of craft specialization, social inequalities, and urbanism with the first state-level societies; and now the globalization of our food, diseases, and culture. Students in this course will explore how the cumulative effects of our biocultural evolution are putting the sustainability of our current population, now approaching 11 billion, at risk, mostly due to the unprecedented scale of humanity's impact on the Earth's ecosystems. This course investigates the origins, development, and predictions for humanity's ecological niche on the planet through a novel interdisciplinary fusion of the social and environmental sciences to give students i) the ability to see the environmental context of the present in an evolutionary light, as well as ii) the tools to evaluate possible remediation and sustainability approaches to control these problems at the local and global scale. The course provides an interdisciplinary immersion in these issues through combined instruction by anthropologists, archaeologists, historians, environmental scientists, ecologists, toxicologists, and sociologists. By focusing on multiple vectors of inquiry (i.e., society, economy, technology, environment) which can be considered at different scales (i.e., from past to present, local to global, individual to societal, temporary to long term), students' progress through the course will give them powerful tools to confront the Grand Challenges of our age, the Anthropocene.

This is a Grand Challenge Curriculum course."
"GCC3024","Undergraduate","11 Billion People: How long can the planet sustain humanity?",3,"TUED - Undergraduate Education Administration","As an evolved animal, humanity has always interacted with its environment, both through the ecology of its food web and through its modification of its geological surroundings. Yet the human ecological niche, and the breadth of its impact on the environment, has changed enormously through the biological and cultural evolution of our lineage, from our first two-legged ancestor; to the appearance of our own species, Homo sapiens; to the diversification of the hunter-gatherer adaptation at the end of the Pleistocene; to the invention of agriculture and animal husbandry in the Holocene; to the rise of craft specialization, social inequalities, and urbanism with the first state-level societies; and now the globalization of our food, diseases, and culture. Students in this course will explore how the cumulative effects of our biocultural evolution are putting the sustainability of our current population, now approaching 11 billion, at risk, mostly due to the unprecedented scale of humanity's impact on the Earth's ecosystems. This course investigates the origins, development, and predictions for humanity's ecological niche on the planet through a novel interdisciplinary fusion of the social and environmental sciences to give students i) the ability to see the environmental context of the present in an evolutionary light, as well as ii) the tools to evaluate possible remediation and sustainability approaches to control these problems at the local and global scale. The course provides an interdisciplinary immersion in these issues through combined instruction by anthropologists, archaeologists, historians, environmental scientists, ecologists, toxicologists, and sociologists. By focusing on multiple vectors of inquiry (i.e., society, economy, technology, environment) which can be considered at different scales (i.e., from past to present, local to global, individual to societal, temporary to long term), students' progress through the course will give them powerful tools to confront the Grand Challenges of our age, the Anthropocene. This is a Grand Challenge Curriculum course."
"ARTH5324","Undergraduate","15th-Century Painting",3,"TCLA - College of Liberal Arts","The origin, character, and development of painting in Northern and Southern Europe.

prereq: Jr or sr or grad or instr consent"
"MUS5541","Undergraduate","16th-Century Counterpoint",3,"TCLA - College of Liberal Arts","Polyphonic counterpoint in modal style of Renaissance. Writing exercises in species counterpoint and in two, three, and four parts. Cantus firmus techniques, mixed values, invertible counterpoint, canon. Representative works by Josquin, Lassus, Palestrina, Victoria, and others.  Renaissance treatises by Artusi, Banchieri, Diruta, Morley, Zarlino, and others.

prereq: [3501, 3508] or pass basic skills exam"
"ARTH5347","Undergraduate","17th- and 18th-Century Art of Northern Europe",3,"TCLA - College of Liberal Arts","Seventeenth-century painting in Holland/Belgium (e.g., Rembrandt, Rubens).  Seventeenth- and eighteenth-century French architecture, sculpture, and painting (e.g., Versailles, Poussin, Watteau)."
"ARTH5346","Undergraduate","17th- and 18th-Century Art of Southern Europe",3,"TCLA - College of Liberal Arts","17th-century painting in Spain (e.g., Ribera, Velazquez, Murillo); 17th- and 18th-century architecture, sculpture, and painting in Italy (e.g., Caravaggio, Carracci, Bernini, Algardi, Borromini, Piranesi)."
"ARTH3303","Undergraduate","17th- and 18th-Century Painting in France",4,"TCLA - College of Liberal Arts","Survey of French painting from Baroque through the beginnings of Neo-Classicism (e.g. De la Tour, Le Nain, Vouet, Poussin, Watteau, Boucher, Chardin, David)."
"MUS4502","Undergraduate","18th-Century Counterpoint",3,"TCLA - College of Liberal Arts","The content of this course is stylistic, focusing on the contrapuntal technique of the late Baroque period (approximately 1700?1750) with some allusions to immediately preceding and following styles. Emphasis will focus on writing skills with some analysis of complete (or substantial sections of) pieces. A working knowledge of tonal harmony and figured bass is prerequisite. Topics to be covered will include: melody, two- and three-part counterpoint; diminutions; cadences, motivic development, and form; techniques for cantus firmus, imitative, and free counterpoint; canon and fugue; and chromaticism.

prereq: [3501, 3508] or pass basic skills exam"
"GER3421","Undergraduate","18th-Century German Literature",3,"TCLA - College of Liberal Arts","German literature, 1720-1810, Enlightenment/Weimar classicism in historical/cultural context. Reading/discussion of literary/philosophical works, aesthetic criticism.

prereq: 3011"
