"course_code","course_title","department","credits","description"
"ARS 100","Reclaim, Regain, and Recover","Academic Recovery Seminar (ARS)","0","A self-guided online course to support students on academic probation in developing and applying constructive academic recovery behaviors and skills with the goal of restoring academic good standing at UNCG."
"ARS 120","Academic Connections in Education","Academic Recovery Seminar (ARS)","0","Students returning from academic suspension will create meaningful connections with UNCG faculty and staff; develop an understanding of university academic policy; identify academic and personal goals; and generate solutions for academic challenges."
"ARS 140","Academic Coaching in Transitions","Academic Recovery Seminar (ARS)","0","Students returning from academic dismissal will identify and apply personal strengths toward utilizing University policies and resources, building academic support networks, and developing an individualized plan for academic recovery."
"ACC 201","Financial Accounting","Accounting (ACC)","3","Introduction to external financial statements of organizations, emphasizing the use of accounting information in making investment and other decisions. Addresses ethical considerations and role of financial reporting in society."
"ACC 202","Managerial Accounting","Accounting (ACC)","3","Introduction to internal accounting and reporting of organizations, emphasizing the use of accounting information used by management and other decision makers within the organization."
"ACC 218","Financial Statement Preparation and Disclosures","Accounting (ACC)","3","First financial accounting course for students desiring to pursue upper division accounting courses. Includes coverage of basic financial statement preparation, time value of money concepts, and techniques for accounting valuations."
"ACC 318","Intermediate Accounting I","Accounting (ACC)","3","Focuses on the conceptual framework underlying financial reporting by business enterprises, the processes by which authoritative accounting guidelines are promulgated, and the preparation, presentation, interpretation, and use of financial statements."
"ACC 319","Intermediate Accounting II","Accounting (ACC)","3","The second course in the two-course intermediate accounting sequence. Continues the examination of the preparation, presentation, interpretation, and use of financial statements."
"ACC 325","Accounting Transaction Processing Systems","Accounting (ACC)","3","Designed to provide an understanding of a variety of accounting subsystems, systems analysis, and design issues reinforced through case studies."
"ACC 330","Cost Accounting","Accounting (ACC)","3","Costs and cost accounting principles, costing systems, cost determination procedures; control and analytical practices for managerial decision-making."
"ACC 350","Internship in Accounting","Accounting (ACC)","3","This course provides students with an opportunity to apply accounting knowledge in a business environment and to gain a better understanding of the accounting profession."
"ACC 420","Federal Tax Concepts","Accounting (ACC)","3","Tax structure and tax principles. Accounting principles and procedures related to tax accounting. Application of tax and accounting principles to specific problems."
"ACC 440","Auditing Concepts","Accounting (ACC)","3","Concepts underlying audit process, procedures used in external auditing, statistical application, preparation of audit programs, and reports. Use of audit software to conduct control risk assessment and substantive tests."
