"code","level","title","credits","description"
"AAS99","Undergraduate","*",0,""
"HUM295Q","Undergraduate","10q4 Creativ:Self Expr",3,""
"HUMS295Q","Undergraduate","10q4 Creativ:Self Expr",3,""
"ENGL295Q","Undergraduate","10q4 Creativ:Self Expr",3,""
"HUM295A","Undergraduate","10q4 Creativity",3,""
"SPAN504","Graduate","13th Century Spanish Lit",3,""
"SPAN539","Graduate","14th Century Spanish Lit",3,""
"SPAN506","Graduate","15th Century Spanish Lit",3,""
"FREN696E","Graduate","16th Century",3,""
"ARH414C","Undergraduate","16th-C Art/North Europe",3,"This course examines manuscript illumination painting, sculpture and prints produced in European regions North of the Alps."
"ARH514C","Graduate","16th-C Art/North Europe",3,"This course examines manuscript illumination painting, sculpture and prints produced in European regions North of the Alps.  Graduate-level requirements include a significantly larger and more critical research paper than the 400-level students; extra monthly meetings outside class to discuss additional readings in terms of content and methodology; oral in-class presentation of research process and results."
"GER504","Graduate","1770-1830:Lit,Art+Intel",3,"This seminar explores critically the nature of language and literature in the later eighteenth and early nineteenth centuries in the light of artistic, intellectual-historical, social-political, literary-cultural, linguistic, and pedagogical developments."
"ART528","Graduate","17-18th Cent Art Italy",3,""
"ARH428","Undergraduate","17-18th Cent Art Italy",3,""
"ARH528","Graduate","17-18th Cent Art Italy",3,""
"ART428","Undergraduate","17-18th Cent Art Italy",3,""
"FREN696F","Graduate","17th Century",3,""
"MCB391A","Undergraduate","181 Laboratory Preceptor",3,"Undergraduate preceptors will work as a team with a graduate or undergraduate teaching assistant and course staff to teach students in Biology 181 labs.  You will learn student-centered teaching techniques, effective communication skills, and how to organize and execute a lesson plan in order to work in the classroom assisting your peers."
"FREN696G","Graduate","18th Century",3,""
"ARH516","Graduate","18th Cent European Art",3,""
"ARH416","Undergraduate","18th Cent European Art",3,""
"FREN696H","Graduate","19th Century",3,""
"ARH517","Graduate","19th Cent European Art",3,"Painting and sculpture from the French Revolution through Impressionism. Graduate-level requirements include an in-depth research paper on a single aspect of current scholarly interest."
"ARH417A","Undergraduate","19th Cent European Art",3,""
"ARH517A","Graduate","19th Cent European Art",3,""
"ART417A","Undergraduate","19th Cent European Art",3,""
"ARH417","Undergraduate","19th Cent European Art",3,"Painting and sculpture from the French Revolution through Impressionism."
"ART517B","Graduate","19th Cent European Art",3,""
"ENGL596D","Graduate","19th Century British Lit",3,""
"ART517A","Graduate","19th Cent European Art",3,""
"ARH517B","Graduate","19th Cent European Art",3,""
"ARH417B","Undergraduate","19th Cent European Art",3,""
"ART417B","Undergraduate","19th Cent European Art",3,""
"HIST441","Undergraduate","19th Century Religion",3,""
"HIST541","Graduate","19th Century Religion",3,""
"HIST596G","Graduate","19th-Century Europe",3,""
"HIST596B","Graduate","19th-Cent U.S. History",3,""
"PORT101","Undergraduate","1st Semester Portuguese",4,"Communicative approach, emphasis on all language skills. Recommended for students with no previous experience with the language."
"JOUR420","Undergraduate","20th C + News Med Intrpt",3,""
"FREN696I","Graduate","20th Century",3,""
"ENGL566B","Graduate","20th Century Americn Lit",3,""
"ENGL566A","Graduate","20th Century Americn Lit",3,""
"PHIL264","Undergraduate","20th Cent Analytic Philosophy",3,"Survey of major analytic introductory philosophers of the 20th century including Peirce, Dewey, James, Russell, Moore, Wittgenstein, Ayer, Carnap, Austin, and Quine."
"CPLT596E","Graduate","20th-Cent British Lit",3,""
"ENGL596E","Graduate","20th Century British Lit",3,""
"HUM251","Undergraduate","20th Century Culture",3,""
"DNC596C","Graduate","20th Cent Dnc Hist/Crit",3,""
"TAR596C","Graduate","20th Cent Dnc Hist/Crit",3,""
"HUMS475","Undergraduate","20th Cent Thry Of Realsm",3,"Exploration of major theories of Realism in 20th century art, literature, and film."
"ART418B","Undergraduate","20th-Century Art",3,""
"ART518B","Graduate","20th-Century Art",3,""
"ARH418A","Undergraduate","20th-Century Art",3,"Painting and sculpture in Europe - 1886 to World War I."
"ARH418B","Undergraduate","20th-Century Art",3,"Painting and sculpture in Europe - Between the World Wars."
"ARH518B","Graduate","20th-Century Art",3,"Graduate-level requirements include an in-depth research paper on a single aspect of current scholarly interest."
"ART418A","Undergraduate","20th-Century Art",3,""
"ART518A","Graduate","20th-Century Art",3,""
"ARH518A","Graduate","20th-Century Art",3,"Graduate-level requirements include an in-depth research paper on a single aspect of current scholarly interest."
"HIST596H","Graduate","20th-Century Europe",3,""
"ENGL360","Undergraduate","21st Century British Lit",3,"This course aims to provide students with an overview of contemporary work produced in Britain and/or by British authors across a variety of genres (including, but not limited to, drama, fiction, and poetry). The course will contextualize this work within longer traditions of English-language literature and cultural institutions, and in terms of a variety of topics and concerns confronting contemporary British culture, society, and politics."
"LAS512","Graduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication.  Graduate-level requirements include an additional 10-15 pages mid-term paper."
"MGMT512","Graduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication.  Graduate-level requirements include an additional 10-15 pages mid-term paper."
"LAW512","Graduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication.  Graduate-level requirements include an additional 10-15 pages mid-term paper."
"LAS514","Graduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication.  Graduate-level requirements include an additional 10-15 pages mid-term paper."
"ENTR512","Graduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication.  Graduate-level requirements include an additional 10-15 pages mid-term paper."
"MGMT412","Undergraduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication."
"LAS412","Undergraduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication."
"LAS414","Undergraduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication."
"ENTR412","Undergraduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication."
"MGMT414","Undergraduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication."
"MGMT514","Graduate","Intl Management Services",3,"The course attempts to tie four important aspects together: Knowledge Economy; International Management of Services; Entrepreneurship and Innovation; and 24-Hour Knowledge Factory.  The objective of the course is to look at several innovative and entrepreneurial aspects of the emerging Knowledge Economy, with special emphasis on how teams of individuals can work together in a seamless manner across national boundaries to render professional services of diverse types and varying sophistication.  Graduate-level requirements include an additional 10-15 pages mid-term paper."
"PORT102","Undergraduate","2nd Semester Portuguese",4,"Communicative approach, emphasis on all language skills."
"ART596S","Graduate","3-D Concepts",3,"The development and exchange of scholarly information, usually in a small group setting. The scope of work shall consist of research by course registrants, with the exchange of the results of such research through discussion, reports, and/or papers."
"ART431","Undergraduate","3D Animation",3,"This course is an introduction to 3D animation focusing on classic principles and techniques of motion development, character expression and kinetic communication.  This course will address technical skill development as well as explore techniques for effective creativity through motion."
"ART498S","Undergraduate","3d Capstone Seminar",3,"Students will be introduced to strategies for developing portfolios and career avenues in the arts. They will develop artists' statements, Powerpoint presentations, and digitally document their work."
"ART496S","Undergraduate","3d Capstone Seminar",3,"Students will be introduced to strategies for developing portfolios and career avenues in the arts. They will develop artists' statements, Powerpoint presentations, and digitally document their work."
"ART237","Undergraduate","3D Modeling",3,"This course introduces fundamental theories, principles, and practices of 3D digital modeling, rendering, and fabrication. Students are given a thorough overview of 3D modeling techniques and sculptural considerations including: production of organic and geometric surfaces and forms, texturing, lighting, rendering, and physical output. Minimal materials fee for rapid prototyping assignment."
"LAR531","Graduate","3d Modeling+Visualizatn",3,"This course study 3D modeling and visualization techniques, and their application to landscape architectural design communication.  Current theories and new technologies including computer graphics, game engines, and interactive multi-media techniques will be discussed."
"LAR525","Graduate","3d Modeling+Visualizatn",3,"This course study 3D modeling and visualization techniques, and their application to landscape architectural design communication.  Current theories and new technologies including computer graphics, game engines, and interactive multi-media techniques will be discussed."
"LAR597B","Graduate","3d Modeling+Visualizatn",3,"This course consists of 2 modules dealing with the study of 3D modeling and visualization techniques and their application to landscape architectural communication.  Current theories and new technologies including computer graphics, game engines, and interactive multi-media techniques will be discussed."
"GAME562","Graduate","3D Modeling for Games",3,"3D modeling is a vital component of game design and development. In this course, students will learn the foundations of 3D modeling as applied to interactive video games. Essential techniques for creating and optimizing 3D assets will be covered, such as polygonal modeling and texture mapping. Emphasis will be placed on optimizing 3D models for performance and visual fidelity for real-time rendering in interactive video games and applications."
