"course_code","course_title","department","credits","description"
"ACCTCY 2010","Introduction to Accounting","Accountancy (ACCTCY)","3","Introduction to accounting for non-business majors.  Emphasis on introducing students to business operations, as well as preparing and using management information and financial accounting information for business decisions (does not count as eitherACCTCY 2036orACCTCY 2037).Credit HoursPrerequisites:sophomore standing"
"ACCTCY 2026","Accounting I","Accountancy (ACCTCY)","3","An introduction to the field of accounting, this course covers the fundamentals of financial accounting. Business students at UMC must have advisor's approval.  Credit may not be earned for bothACCTCY 2026andACCTCY 2036.Credit HoursPrerequisites:Sophomore Standing"
"ACCTCY 2027","Accounting II","Accountancy (ACCTCY)","3","This course covers the fundamentals of managerial accounting and additional topics in financial accounting. Business students at UMC must have advisor's approval.  Credit may not be earned for bothACCTCY 2027andACCTCY 2037. Course only offered through Mizzou Online (self paced).Credit HoursPrerequisites:ACCTCY 2026,ACCTCY 2036orACCTCY 2136H"
"ACCTCY 2036","Accounting I","Accountancy (ACCTCY)","3","First part of two-part course focusing on the nature and use of managerial and financial accounting information for decision making in various business settings.   Emphasizes use of accounting information by internal and external users.  This course covers the fundamentals of financial accounting.Credit HoursPrerequisites:Completion of . May be restricted to lower-level business and lower- level accountancy students during early registration"
"ACCTCY 2037","Accounting II","Accountancy (ACCTCY)","3","Second part of two-part course focusing on the nature and use of managerial and financial accounting information for decision making in various business settings. Emphasizes use of accounting information by internal and external users. This course covers the fundamentals of managerial accounting.Credit HoursPrerequisites:ACCTCY 2026,ACCTCY 2036orACCTCY 2136H"
"ACCTCY 2136H","Honors Accounting I","Accountancy (ACCTCY)","3","First part of two-part course focusing on the nature and use of managerial and financial accounting information for decision making in various business settings. Emphasizes use of accounting information by internal and external users.Credit HoursPrerequisites:sophomore standing in Accounting or Business, 3.3 or higher GPA.  Honors eligibility required"
"ACCTCY 2137H","Honors Accounting II","Accountancy (ACCTCY)","3","Continuation of Accountancy 2136H.Credit HoursPrerequisites:C or betterACCTCY 2136H. Honors eligibility required"
"ACCTCY 2258","Computer-Based Data Systems","Accountancy (ACCTCY)","3","Introduces the computer as a tool in the efficient operation of a business. Skills developed in the course include electronic information retrieval, information analysis using a spreadsheet, what-if analysis macro development, and information presentation.  In addition, computer components, data storage, networks, and information technology are discussed.Credit HoursPrerequisites:Sophomore standing"
"ACCTCY 3326","Financial Accounting Theory and Practice I","Accountancy (ACCTCY)","3","Institutional structure, conceptual framework, and reporting standards and practices of financial accounting, with special emphasis on accounting for assets.Credit HoursPrerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027.  Restricted to Accountancy Majors"
"ACCTCY 3328","Accounting Information Systems","Accountancy (ACCTCY)","3","Introduction to accounting information systems (AIS). General AIS concepts.  Transaction processing systems and accounting cycles.  Alternative platforms for computerized transaction processing.  Database management and data modeling. Control concepts and design.Credit HoursPrerequisites or Corequisites:MANGMT 3300Prerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027. Restricted to Accountancy Majors"
"ACCTCY 3346","Financial Accounting Theory and Practice II","Accountancy (ACCTCY)","3","Continuation of Accountancy 3326, with special emphasis on income recognition and accounting for liabilities and ownership equity.Credit HoursPrerequisites:ACCTCY 3326.  Restricted to Accountancy Majors"
"ACCTCY 3347","Cost and Managerial Accounting","Accountancy (ACCTCY)","3","Activity based and traditional job order and process cost systems for service, merchandising, and multinational manufacturing companies;  Cost accounting techniques and procedures for financial reporting by multinational companies. Strategic focus to management accounting measurement and reporting.  Standard costs and variances, capital budgeting.Credit HoursPrerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027.   Restricted to Accountancy Majors"
"ACCTCY 4000","Accountancy Professional Speakers and Symposia","Accountancy (ACCTCY)","0","(cross-leveled withACCTCY 7000). This non-credit course, recommended for all accountancy majors, will provide exposure to issues in the accounting profession through professional speaker series and symposia. Components will include the Dawdy Speaker Series, Orin Ethics Symposium, and Symposia delivered by accounting firms and/or professional accounting organizations. This will be a non-credit, non-billed, no hours course.Credit HoursPrerequisites:Accountancy Majors"
"ACCTCY 4301","Topics in Accounting","Accountancy (ACCTCY)","1-3","Independent investigations, reports on approved topics.Credit HourPrerequisites:instructor's consent"
"ACCTCY 4353","Introduction to Taxation","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 7353).  Introduction to the structure and conceptual foundation of the U.S. federal income tax system for individual taxpayers.  Topics include income recognition, deductions, property transactions, trusts, and family wealth planning.  This course also introduces students to legal tax research and preparation of individual income tax returns.Credit HoursPrerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027.   Restricted to accountancy majors only"
"ACCTCY 4356","Financial Accounting Concepts","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 7356). Current issues in the financial reporting of business corporations to external parties.Credit HoursPrerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027orACCTCY 8310. Not open to accountancy majors"
"ACCTCY 4365","Governmental Accounting and Budgeting","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 7365). Introduction to government and not-for-profit accounting. Concepts and principles of fund accounting, budgeting, auditing, and financial reporting in government and not-for-profit entities.Credit HoursPrerequisites:ACCTCY 3326. Restricted to Accountancy Majors"
"ACCTCY 4384","Auditing Theory and Practice I","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 7384). Introduction to the auditing profession, assurance function, and generally accepted standards for conducting audits.Credit HoursPrerequisites:ACCTCY 3328andACCTCY 3346. Restricted to Accountancy Majors"
"ACCTCY 4940","Professional Accounting Internship","Accountancy (ACCTCY)","3-6","(cross-leveled withACCTCY 7940). Provides full-time professional accounting work experience of at least eight weeks duration. Graded on S/U basis only.Credit HourPrerequisites:Accountancy Majors only and  completed andACCTCY 3326andACCTCY 3328andACCTCY 3346andACCTCY 3347andACCTCY 4353, and GPA of 3.0 or higher"
"ACCTCY 7000","Accountancy Professional Speakers and Symposia","Accountancy (ACCTCY)","0","(cross-leveled withACCTCY 4000). This non-credit course, recommended for all accountancy majors, will provide exposure to issues in the accounting profession through professional speaker series and symposia. Components will include the Dawdy Speaker Series, Orin Ethics Symposium, and Symposia delivered by accounting firms and/or professional accounting organizations. This will be a non-credit, non-billed, no hours course. Graded on S/U basis only.Credit HoursPrerequisites:Accountancy Majors"
"ACCTCY 7353","Introduction to Taxation","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 4353). Introduction to the structure and conceptual foundation of the U.S. federal income tax system for individual taxpayers.  Topics include income recognition, deductions, property transactions, trusts, and family wealth planning.  This course also introduces students to legal tax research and preparation of individual income tax returns.Credit HoursPrerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027. Restricted to accountancy majors only"
"ACCTCY 7356","Financial Accounting Concepts","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 4356). Current issues in the financial reporting of business corporations to external parties. Not open to accountancy majors.Credit HoursPrerequisites:ACCTCY 2037orACCTCY 2137HorACCTCY 2027orACCTCY 8310"
"ACCTCY 7365","Governmental Accounting and Budgeting","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 4365). Introduction to government and not-for-profit accounting. Concepts and principles of fund accounting, budgeting, auditing, and financial reporting in government and not-for-profit entities.Credit HoursPrerequisites:ACCTCY 3326. Restricted to Accountancy Majors"
"ACCTCY 7384","Auditing Theory and Practice I","Accountancy (ACCTCY)","3","(cross-leveled withACCTCY 4384). Introduction to the auditing profession, assurance function, and generally accepted standards for conducting audits.Credit HoursPrerequisites:ACCTCY 3328andACCTCY 3346. Restricted to Accountancy Majors"
"ACCTCY 7940","Professional Accounting Internship","Accountancy (ACCTCY)","3-6","(cross-leveled withACCTCY 4940). Provides full-time professional accounting work experience of at least eight weeks duration. Graded on S/U basis only.Credit HourPrerequisites:Completion of undergraduate portion of 150 hour program (or equivalent) and consent of Internship Coordinator"
"ACCTCY 8310","Accounting for Managers","Accountancy (ACCTCY)","3","Introduction to understanding how accounting information is used to help make informed decisions in various business settings.  Includes an introduction to basic financial and management accounting concepts and procedures.Credit HoursPrerequisites:MBA or MSB candidate, or departmental consent"
"ACCTCY 8363","Multi-Jurisdictional Tax","Accountancy (ACCTCY)","3","This course takes a practical approach to exploring multistate and international tax concepts by focusing on tax issues that can arise as a company expands from a single business location into a multinational corporation. Part 1 of this course focuses on the economic, political, and constitutional constraints imposed on state and local taxation, including the due process clause, the commerce clause and state uniformity and equality clauses. Part 2 of the course includes a survey of state and local tax laws, with a particular emphasis on the imposition of sales and use taxes and the allocation and apportionment of state income taxes. Part 3 of the course surveys principals of international taxation, including U.S. taxation of the foreign investments or activities of U.S. taxpayers (outbound) and U.S. taxation of the U.S. taxation of the U.S. activity or investments of foreign taxpayers (inbound).Credit HoursPrerequisites:ACCTCY 4353. Restricted to Accountancy Majors"
"ACCTCY 8373","Taxation of Corporations and Shareholders","Accountancy (ACCTCY)","3","Life cycle of a corporation including formations, operations, distributions, and liquidations of corporations.Credit HoursPrerequisites:ACCTCY 4353orACCTCY 7353. Restricted to Accountancy Majors"
"ACCTCY 8393","Taxation of Trust, Gifts and Estates","Accountancy (ACCTCY)","3","This course covers two main topics.  Students are introduced to the construction, operation and income taxation of trusts.  After this portion of the course students will learn about the gift tax consequences of completed exchanges.  Finally, students will learn the basic rules regarding the estate tax. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 4353orACCTCY 7353. Restricted to Accountancy Majors"
"ACCTCY 8401","Topics in Accounting","Accountancy (ACCTCY)","1-3","Independent investigations, reports on approved topics.Credit HourPrerequisites:instructor's consent"
"ACCTCY 8404","Internal Auditing","Accountancy (ACCTCY)","3","This course covers the concepts, practices, and application of internal audit activities.  The course will review the entire internal audit process including annual audit and engagement planning, fieldwork, reporting, and management communication.  Other topics including internal controls, enterprise risk management, and key behavior skills will be discussed.  The Professional Practices Framework and industry best practices will be incorporated throughout the semester.  This course will prepare students for entry-level internal audit positions.  Graded A-F only.Credit HoursPrerequisites:ACCTCY 4384orACCTCY 7384. Restricted to Accountancy Majors"
"ACCTCY 8410","Accounting Ethics","Accountancy (ACCTCY)","3","The accounting profession has an obligation to serve the public interest. The objective of this course is to help you understand your ethical responsibility to protect the public interest through the philosophical and cognitive processes that encourage you to examine your own ethical intentions and reflect on your decisions. The course will place particular focus on articulating the values that inform your decisions. Graded on A-F basis only.Credit Hours"
"ACCTCY 8414","Audit of Internal Controls","Accountancy (ACCTCY)","3","A combination of control theory, concept application, demonstration of actual practice, and student research to develop an understanding of the concepts and practices used in the design, development or assurance of information systems (IS) controls. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 3328, andACCTCY 4384orACCTCY 7384.  Restricted to Accountancy Majors"
"ACCTCY 8419","International Accounting","Accountancy (ACCTCY)","3","Introduction to accounting regulations and practices outside of the U.S., accounting regulations for foreign registrants on the NYSE and NASDAQ, international accounting standards and international management control issues. Review of cultural frameworks; transfer pricing methods and international accounting standards.Credit HoursPrerequisites:ACCTCY 3346andACCTCY 3347. Restricted to Accountancy Majors"
"ACCTCY 8420","Data Based Decision Making","Accountancy (ACCTCY)","3","Prepares students to use data-oriented approaches when making decisions. Students will develop skills in the following areas: (1) extracting, transforming, and loading data (ETL), (2) using the appropriate statistical method and software to analyze data, (3) interpreting and communicating data-driven results to stakeholders, and (4) understanding the abilities and limitations of data when answering stakeholder-relevant questions. While the software (e.g., Microsoft Excel, SAS) and analytical approaches (e.g., visualization, univariate statistics, multivariate regression) we use in this course are relevant to a multitude of professions, the specific data and contexts we study revolve around business and accounting topics, such as measuring and benchmarking firm performance, assessing firms' risk of fraud and/or distress, and using patterns or irregularities in firm data to inform decisions. Graded on A-F basis only.Credit HoursPrerequisites:STAT 2500andSTAT 3500(or the equivalent)"
"ACCTCY 8423","Tax Research and Planning","Accountancy (ACCTCY)","3","Applied tax research using print and electronic data bases; heuristic biases in tax judgments; responsibilities of professional tax practices.Credit HoursPrerequisites or Corequisites:ACCTCY 8373Prerequisites:Restricted to Accountancy Majors"
"ACCTCY 8424","Fraud Examination","Accountancy (ACCTCY)","3","A study of the methods and techniques of fraud examination, particularly with regard to frauds perpetrated by the company against the public. The ethical and professional standards that underlie the accountant's responsibility for fraud detection and prevention are emphasized. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 4384orACCTCY 7384. Restricted to Accountancy Majors"
"ACCTCY 8428","Data Visualization and Data Mining","Accountancy (ACCTCY)","3","Enterprise-wide view of data and transaction processing. Concepts and techniques of data visualization and data mining of business-critical data. Graded on A-F basis only.Credit HoursPrerequisites:Restricted to Accountancy Majors or with Department consent"
"ACCTCY 8430","Accounting Policies and Impacts","Accountancy (ACCTCY)","3","This course is aimed for students to discover various business and accounting policies, their origins, and impacts. The course will provide a framework for understanding our larger business environment from both a policy, planning, and analysis perspective. The objectives for this course are three-fold: 1. To understand the stakeholders and environments in which policy decisions are made; 2. To obtain basic knowledge of policies important to business and accounting professionals; and 3. To develop a framework for analyzing policies.Credit HoursPrerequisites:Graduate standing in the 150-hour BSAcc/MAcc program or Master of Accountancy program"
"ACCTCY 8433","Mergers and Acquisitions Taxation","Accountancy (ACCTCY)","3","This course covers the basic taxation of mergers and acquisitions, both taxable and tax-free acquisitions; issues in merger and acquisition deal making, such as due diligence and understanding contract tax provisions; and an overview of securities regulations with respect to publicly traded companies. Graded on A-F basis only.Credit HoursPrerequisites or Corequisites:ACCTCY 8373Prerequisites:ACCTCY 4353"
"ACCTCY 8436","Advanced Accounting","Accountancy (ACCTCY)","3","Continuation ofACCTCY 3346. Addresses a series of special financial accounting topics including income taxes, pensions, leases, business combinations, consolidated statements, and foreign currency translation. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 3346. Restricted to Accountancy Majors"
"ACCTCY 8438","Forensic Accounting","Accountancy (ACCTCY)","3","Coverage of forensic accounting processes and tools used in the detection and prevention of fraud against the company. Topics include skimming, cash larceny, check tampering, billing schemes and others.  An emphasis of the course will be upon the use of computer aids. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 3328,ACCTCY 4384orACCTCY 7384. Restricted to Accountancy Majors"
"ACCTCY 8444","Advanced Audit","Accountancy (ACCTCY)","3","The Advanced Auditing course helps students develop a better understanding of the audit environment and gives them the opportunity to gain hands-on experience planning for an audit engagement, performing test work, and completing an audit engagement.  The course also addresses additional topics not covered in detail in the Audit Theory and Practice I course, including inventory observation, legal liability issues faced by auditors today, the regulatory environment, professional responsibilities of auditors, preparing appropriate documentation for audit engagements, providing required communications to clients, and performing Single Audits. The course is designed to encourage open discussions of cases and current issues and provide learning opportunities for the students. The class meetings and assignments are designed to improve the student' critical thinking skills, communication skills, and team-building skills. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 4384orACCTCY 7384. Restricted to Accountancy Majors"
"ACCTCY 8448","Emerging Issues in Accounting Information Systems","Accountancy (ACCTCY)","3","Current developments in the implementation and use of accounting information systems.  Topics may vary. Graded on A-F basis only.Credit HoursPrerequisites:Restricted to Accountancy Majors"
"ACCTCY 8450","Accounting and Strategic Business Analysis","Accountancy (ACCTCY)","3","Capstone course in the Master of Accountancy program. Emphasis on case analysis to develop critical thinking and analytical skills in the use of accounting reports for broad-based business analysis. Graded on A-F basis only.Credit HoursPrerequisites:ACCTCY 3346or equivalent. Restricted to Accountancy Majors"
