"code","level","title","credits","college","description"
"FILM6520","Graduate Semester","16mm Cinematography",4,"FA - College of Fine Arts","This advanced single semester course covers the fundamentals of cinematography and film editing. Production originates exclusively on 16mm film."
"FILM4520","Undergraduate Semester","16mm Cinematography",4,"FA - College of Fine Arts","This course focuses on motion picture production using 16mm film technology, covering cinematography and editing methods for students to produce their own short film."
"MUSC4560","Undergraduate Semester","18th-Century (Baroque) Counterpoint & Analysis",3,"FA - College of Fine Arts","The course provides written and analytical studies of 18th-century counterpoint through fugue, primarily in the styles of J.S. Bach. Procedures of two-voice, three-voice, and four-voice writing are emphasized."
"THEA1220","Undergraduate Semester","1st-Year Acting for Actor Training Program",3,"FA - College of Fine Arts","Acceptance into the Actor Training Program required. This course introduces students to elements of acting through ensemble-building and imaginative play, focusing on elements of acting as applied to theatre games/exercises, improvisation, and open scene work."
"THEA1230","Undergraduate Semester","1st-Year Acting for Actor Training Program",3,"FA - College of Fine Arts","This course continues the exploration of the acting process through monologues and scenes, focusing on the exploration of the self in creating character."
"THEA1240","Undergraduate Semester","1st-Year Movement for Actor Training Program",2,"FA - College of Fine Arts","Introduces the fundamentals of movement and their relationship to acting through the lens of Alexander Technique. Focus is on body alignment, awareness, placement, centering, and being grounded in space."
"PHIL3040","Undergraduate Semester","20th Century Analytic Philosophy",3,"HU - College of Humanities","Survey or representative writings of major philosophers or themes in the analytic tradition from Frege and Russell to the present."
"PHIL3060","Undergraduate Semester","20th Century Continental Philosophy",3,"HU - College of Humanities","Survey or representative writings of major philosophers or themes in the Continental tradition, including Husserl, Beauvoir, Sartre, Habermas, or Derrida to the present."
"MUSC4650","Undergraduate Semester","20th- and 21st-Century Music",3,"FA - College of Fine Arts","Issues related to aesthetics, sociology, compositional techniques, impact of art music in the 20th century."
"MUSC6650","Graduate Semester","20th- and 21st-Century Music Grad",3,"FA - College of Fine Arts","Issues related to aesthetics, sociology, compositional techniques, impact of art music from the 1900's to the present."
"MUSC6520","Graduate Semester","20th/21st Century Analysis I",3,"FA - College of Fine Arts","An introduction to a variety of theories and techniques/strategies commonly employed in the analysis of atonal, twelve-tone, and other post-tonal compositional practices."
"MUSC6521","Graduate Semester","20th/21st Century Analysis II",3,"FA - College of Fine Arts","Develops and extends aspects of the theoretical systems and analytical paradigms covered in MUSC 6520 through the close examination of individual works, composers, genres/styles, and/or systems of the twentieth and twenty-first centuries. Specific topics will vary."
"THEA2220","Undergraduate Semester","2nd-Year Acting for Actor Training Program",3,"FA - College of Fine Arts","This course includes continued exploration of physical release and grounding of breath and body, listening, spontaneous interaction, inner monologue, and wants/actions/obstacles. Work is practiced through acting exercises and improvisation and scene study."
"THEA2230","Undergraduate Semester","2nd-Year Acting for Actor Training Program",3,"FA - College of Fine Arts","Emphasizes tools and skills in building a character through extended scene study focusing on realism through the works of modern playwrights."
"THEA2240","Undergraduate Semester","2nd-Year Movement for Actor Training Program",2,"FA - College of Fine Arts","This course is a continuation of the exploration of the fundamentals of movement and their relationship to acting through the work of Etienne DeCroux (corporeal mime), ballet for the actor, and modern dance techniques."
"THEA2250","Undergraduate Semester","2nd-Year Movement for Actor Training Program",2,"FA - College of Fine Arts","This course deepens the exploration of the fundamentals of movement and their relationship to acting through the work of neutral mask and improvisational movement, with the addition of text in creating physical characterization."
"THEA2010","Undergraduate Semester","2nd-Year Singing for Actor Training Program",2,"FA - College of Fine Arts","Acceptance into the Actor Training Program required. Introduces singing/acting performance techniques through practical application and repertoire study. Students study how to learn material, develop a process to bring a song to performance level, and explore the musical theatre canon through sight-singing, work-shopping, and performing."
"THEA2060","Undergraduate Semester","2nd-Year Voice and Speech for Actor Training Program",2,"FA - College of Fine Arts","Students explore both expressive and technical voice work through movement-based modalities, open-ended explorations, and structured vocal progressions. Emphasis is placed on students becoming reflective practitioners who are aware of and take active ownership over their physical instrument in relation to effective vocal expression and the demands of theatrical storytelling."
"THEA2070","Undergraduate Semester","2nd-Year Voice and Speech for Actor Training Program",2,"FA - College of Fine Arts","Students continue their exploration of both expressive and technical voice work. Emphasis is placed on the application of technique and vocal expression to challenging text in service of being clearly heard, understood, and felt by their audience."
"FA4360","Undergraduate Semester","3-D Dynamics and Motion",4,"FA - College of Fine Arts","The class will focus on advanced 3D techniques like Nurbs modeling and sub-division surface modeling, Artisan Sculpt, Paint Tools, and Mental Ray and HDRI rendering methods for creating high quality animations.  This class uses primarily Maya.  Experience in After Effects and Photoshop is recommended."
"ART4420","Undergraduate Semester","3-D Figure Structure II",4,"FA - College of Fine Arts","A continuation of basic 2420 class. Knowledge of the figure related to three-dimensional form. Work directly from the model. Occasional mold-making. Emphasis on anatomy."
"FA4350","Undergraduate Semester","3-D Modeling and Rendering",4,"FA - College of Fine Arts","The study of complex computer modeling and rendering techniques in 3D space.  The class will concentrate on such techniques as poly modeling, texturing, real-time animation, and Raytracing and ToonShade rendering methods.  The class will use primarily Alias Maya.  Experience with After Effects and Photoshop is recommended."
"BME7320","Graduate Semester","3-D Reconstruction Techniques in Medical Imaging",3,"EN - J & M Price College of Eng.","The course focuses on the problem of three-dimensional (3D) image reconstruction from line integrals, which constitute a mathematical model of measurements in computed tomography (CT), and particularly x-ray computed tomography. Analytical and iterative reconstruction methods are investigated for various geometries of data acquisition.  A critical goal is to provide the student with the essential tools required to understand papers on tomographic image reconstruction, from x-ray CT to emission CT, and also with a clear understanding of how efficient and accurate reconstruction algorithms are designed, using the Fourier slice theorem and backprojection techniques. MATLAB laboratories and a computer project are given in support of the theory."
