"Department","Course Code","Title","Credits","Description"
"African American Studies (AFRAM)","AFRAM 101","Introduction to African American Studies","5","AFRAM 101 Introduction to African American Studies (5) SSc, DIVHistory, culture, religion, institutions, politics, economics, arts, and psychology of peoples of African descent as developed from experience in both the old and new worlds. Multidisciplinary analysis of social life from a black perspective as illustrated in selected historical and contemporary writings."
"African American Studies (AFRAM)","AFRAM 102","Advanced Placement","AP","AFRAM 102 Advanced Placement (AP) Introduction to African American Studies (5) SSc, DIVCourse awarded based on Advanced Placement (AP) score. Consult the Admissions Exams for Credit website for more information."
"African American Studies (AFRAM)","AFRAM 150","Introduction to African American History","5","AFRAM 150 Introduction to African American History (5) SScIntroductory survey of topics and problems in African American history with some attention to Africa as well as to America. Basic introductory course for sequence of lecture courses and seminars in African American history. Offered: jointly with HSTAA 150."
"African American Studies (AFRAM)","AFRAM 214","Introduction African American Literature","5","AFRAM 214 Introduction African American Literature (5) A&H, DIVIntroduction to various genres of African American literature from its beginnings to the present. Emphasizes the cultural and historical context of African American literary expression and its aesthetics criteria. Explores key issues and debates, such as race and racism, inequality, literary form, and canonical acceptance. Offered: jointly with ENGL 258."
"African American Studies (AFRAM)","AFRAM 220","African American Film Studies","5","AFRAM 220 African American Film Studies (5) A&H/SSc, DIVExamines the history and theory of African American filmmaking, introducing central political and aesthetic debates by way of different cinematic eras, genres, and filmmakers. Focuses primarily on black directors and producers independent and commercial contexts as they confront popular representations of U.S. blackness in their own cinematic practice."
"African American Studies (AFRAM)","AFRAM 241","The United States During the Era of Civil War and Reconstruction","5","AFRAM 241 The United States During the Era of Civil War and Reconstruction (5) SSc, DIVViews American Civil War and Reconstruction through lens of African-American social history. From U.S. government's abolition of Atlantic slave trade in 1808 to expanding Jim Crow laws in 1890s, reports how changes in the era were racialized and gendered. Considers how ideas of race, gender, class, and freedom in the U.S. were challenged and reshaped. Explores historical legacies of Civil War and Reconstruction from the nineteenth-century to now. Offered: jointly with HSTAA 241."
"African American Studies (AFRAM)","AFRAM 246","African American Politics","5","AFRAM 246 African American Politics (5) SSc, DIVSurvey of African Americans within the U.S. socio-political processes. Situates African Americans within a post-civil rights context where there is debate about race's centrality to an African American politics. Offered: jointly with POL S 246."
"African American Studies (AFRAM)","AFRAM 260","African American Family","5","AFRAM 260 African American Family (5) SSc, DIVExplores the structures and functioning of various types of black families. Single-parent families, two-parent families, extended families, and consensual families are explored. Their consequences for male/female relationships are linked and critiqued. Offered: jointly with SOC 260."
"African American Studies (AFRAM)","AFRAM 261","The African American Experience through Literature","5","AFRAM 261 The African American Experience through Literature (5) A&H/SScInstructs students in hermeneutical and sociological methods of analyses. Analyzes selected novels, essays, poems, short stories, and plays with the purpose of understanding the structures and functions of both society and personality. Offered: jointly with SOC 261."
"African American Studies (AFRAM)","AFRAM 270","The Jazz Age","5","AFRAM 270 The Jazz Age (5) SSc, DIVInterdisciplinary study of period after World War I to Great Crash. African American and Anglo American currents and impulses that flowed together in the Roaring Twenties. Covers politics of normalcy, economics of margin, literature of indulgence and confusion, transformation of race relations, and cultural influence of jazz. Offered: jointly with HSTAA 270."
"African American Studies (AFRAM)","AFRAM 272","History of the South Since the Civil War","5","AFRAM 272 History of the South Since the Civil War (5) SSc, DIVReconstruction and its aftermath, the Agrarian (Populist) revolt, disfranchisement and segregation, the effects of urbanization and subsequent depression, desegregation, and the struggle for civil rights. Examines the New South, the conflict of ideology with structural and material change, and the place of the South in contemporary America."
"African American Studies (AFRAM)","AFRAM 315","Black Identities and Political Power","5","AFRAM 315 Black Identities and Political Power (5) SScRelates the deployment of political power within institutions to shifting racial identities. Shows how racial identities both reflect and inflect relations of domination and resistance within and between cultures in the black diaspora. Prerequisite: either AES 150, AFRAM 150, AFRAM 201, or POL S 201. Offered: jointly with POL S 315."
"African American Studies (AFRAM)","AFRAM 318","Black Literary Genres","5","AFRAM 318 Black Literary Genres (5) A&H, DIVConsiders how generic forms and conventions have been discussed and distributed in the larger context of African American, or other African diasporic literary studies. Links the relationship between generic forms to questions of power within social, cultural, and historical contexts. Offered: jointly with ENGL 318; AWSp."
"African American Studies (AFRAM)","AFRAM 320","Black Women in Drama","5","AFRAM 320 Black Women in Drama (5) A&H, DIVCharacter types of black women as represented in plays by black women. Some black male playwrights are juxtaposed with black female writers for comparative analysis. Playwrights include Georgia Douglas Johnson, Angelina Grimke, Alice Chidress, Lorraine Hansberry, Ira Aldridge, LeRoi Jones."
"African American Studies (AFRAM)","AFRAM 321","History of African American Women and the Feminist Movement","5","AFRAM 321 History of African American Women and the Feminist Movement (5) SSc, DIV""Feminist Movement"" from early nineteenth century to present. Treats relationship between black and white women in their struggle for independence, at times together and at times apart. Discusses the reasons, process, and results of collaboration as well as opposition. Examines recent and contemporary attempts at cooperation. Offered: jointly with GWSS 321."
"African American Studies (AFRAM)","AFRAM 330","Music, Folklore, and Performance in Black Society","5","AFRAM 330 Music, Folklore, and Performance in Black Society (5) A&HFocuses on cultural expressions created by people of African descent in the Unites States in the twentieth century, with an emphasis on music, folklore, dance, and humor. Offered: WSp."
"African American Studies (AFRAM)","AFRAM 334","Civil Rights and Black Power in the United States","5","AFRAM 334 Civil Rights and Black Power in the United States (5) A&H/SSc, DIVExamines the politics and culture of the modern African American freedom struggle, which began after WWII and continued into the 1970s. Interrogates political strategies associated with nonviolent direct action, armed self-reliance, and black nationalism, as well as the cultural expression that reflect these political currents. Offered: jointly with HSTAA 334."
