"code","title","credits","description"
"HON 4395.","Honors Senior Thesis.","",""
"HON 4396.","Honors Senior Thesis.","",""
"UNIV 1301.","Seminar/Critical Inquiry.","",""
"NCBM M011.","MDM Intermediate Algebra.","",""
"NCBM M021.","NCB Intermediate Algebra.","",""
"NCBM M031.","Beginning Basic Math.","",""
"NCBE E020.","NCB Integrated Rdg & Writing.","",""
"NCBE E021.","Basic Reading & Writing.","",""
"NCBE E022.","Reading and Writing Workshop.","",""
"NCBL L010.","NCB Eng for Non-Native Speaker.","",""
"ACCT 2301.","Principles of Accounting I.","",""
"ACCT 2302.","Principles of Accounting II.","",""
"ACCT 3320.","Accounting Systems.","",""
"ACCT 3321.","Intermediate Accounting I.","",""
"ACCT 3322.","Intermediate Accounting II.","",""
"ACCT 3323.","Cost Accounting.","",""
"ACCT 3327.","Fed Income Tax - Individuals.","",""
"ACCT 4304.","Auditing Principles/Procedures.","",""
"ACCT 4315.","Acct Res. and Communication.","",""
"ACCT 4335.","Business Intelligence.","",""
"ACCT 4345.","Financial Statement Analysis.","",""
"ACCT 4396.","Internship.","",""
"ACCT 4398.","Independent Study in Acct.","",""
"ACCT 4399.","Current Concepts in Accounting.","",""
"BLAW 3301.","Legal Environment of Business.","",""
"BLAW 4391.","Business Law.","",""
"BUSN 1301.","Intro to Global Business.","",""
"BUSN 2301.","Bus Foundtns for Entrepreneurs.","",""
"BUSN 3301.","Fund. of Acct. & Fin. for Entr.","",""
"BUSN 3304.","Global Business Environment.","",""
"BUSN 3305.","Global Busn Environ-Study Away.","",""
"BUSN 3306.","Intl Negot and Multicult Comm.","",""
"BUSN 3320.","New Venture Creation & Mgmt.","",""
"BUSN 3321A.","New Venture Creat & Mgmt Lab.","",""
"BUSN 3330.","Business Internship.","",""
"BUSN 3333.","Business Processes Analytics.","",""
"BUSN 3334.","Strategic Mgmt of AI in Bus..","",""
"BUSN 4394.","Spec Top in Intnat'l Business.","",""
"BUSN 4395A.","Special Topics in Business.","",""
"BUSN 4395B.","Special Topics in Business Lab.","",""
"AS 1010.","AFROTC Physical Training.","",""
"AS 1231.","Heritage Values US Air Force I.","",""
"AS 1232.","Herit. Values US Air Force II.","",""
"AS 2010.","AFROTC Physical Training.","",""
"AS 2111.","Field Training Leadership.","",""
"AS 2231.","Team and Leadership Fund. I.","",""
"AS 2232.","Team and Leadership Fund. II.","",""
"AS 3010.","AFROTC Physical Training.","",""
"AS 3431.","Leading People & Eff. Comm. II.","",""
"AS 3432.","Leading People & Eff. Comm. II.","",""
"AS 4010.","AFROTC Physical Training.","",""
"AS 4431.","Nat. Sec. Aff/Active Duty I.","",""
"AS 4432.","Nat. Sec. Aff/Active Duty II.","",""
"AERO 2131.","Aerospace Materials Lab.","",""
"AERO 2331.","Aerospace Materials.","",""
"AERO 3312.","Aerodynamics 1.","",""
"AERO 3323.","Aerospace Structures I.","",""
"AERO 3343.","Systems Modelling and Control.","",""
"AERO 4311.","Flight Dynamics and Controls.","",""
"AERO 4312.","Aircraft Design.","",""
"AERO 4313.","Aerospace Structures II.","",""
"AERO 4319.","Special Topics in Aeronautics.","",""
"AERO 4322.","Aerospace Propulsion.","",""
"AERO 4329.","Special Topics Aerostructures.","",""
"AERO 4331.","Aerodynamics II.","",""
"AERO 4332.","Hypersonic Vehicle Design.","",""
"AERO 4335.","Structural Dynamics.","",""
"AERO 4339.","Special Topics in Hypersonics.","",""
"AERO 4351.","Orbit and Attitude Dynamics.","",""
"AERO 4353.","Spacecraft Environments.","",""
"AERO 4355.","Space Mission Design.","",""
"AERO 4359.","Special Topics in Astronautics.","",""
"AERO 4364.","Aerospace Communications.","",""
"AERO 4365.","Aerospace Systems Engineering.","",""
"AERO 4366.","Aerospace Senior Design.","",""
"AERO 4396.","Independent Study in Aero..","",""
"ART 1300.","Art Appreciation.","",""
"ART 3300.","Art Exploration.","",""
"ART 3306.","Professional Art Practices.","",""
"ART 3307.","Special Topics in Art.","",""
"ART 3308.","Introduction to Museum Studies.","",""
"ART 3309.","Exhibit Develop & Design Lab.","",""
"ART 3310.","Curation and Collections Mgmt.","",""
"ART 3311.","Museum Ed & Interpretation.","",""
"ART 3339.","Special Studies.","",""
"ART 4339.","Museum Studies Internship.","",""
"ARTE 2307.","Foundations of Art Education.","",""
"ARTE 3347.","Literacies of Art.","",""
"ARTE 3357.","Issues, Ideas, and Artmaking.","",""
"ARTE 3367.","Multiplicity in Art Education.","",""
"ARTE 3397.","Special Topics: Art Education.","",""
"ARTE 4347.","Curriculum and Pedagogy.","",""
"ARTE 4357.","Experiential Practicum.","",""
"ARTE 4607.","Internship in Art Education.","",""
"ARTF 1301.","Basic Design I.","",""
"ARTF 1302.","Basic Drawing I.","",""
"ARTF 1303.","Basic Design II.","",""
"ARTF 1304.","Basic Drawing II.","",""
"ARTG 2306.","Graphic Design 1:Comp Graphics.","",""
"ARTG 2326.","Graphic Design 2.","",""
"ARTG 3316.","Graphic Design 3.","",""
"ARTG 3326.","Graphic Design 4 Typography.","",""
"ARTG 4306.","Graphic Design 5.","",""
"ARTG 4316.","Graphic Design 6:  Practicum.","",""
"ARTG 4326.","Graphic Design 7: Illustration.","",""
"ARTG 4336.","Graphic Design 8: Interactive.","",""
"ARTG 4346.","Graphic Design 9:  Portfolio.","",""
"ARTG 4356.","Internship.","",""
"ARTH 1305.","History of Art I.","",""
"ARTH 1306.","History of Art II.","",""
"ARTH 2303.","Twentieth-Century Art I.","",""
"ARTH 2313.","Twentieth-Century Art II.","",""
"ARTH 3305.","Art of the Roman Empire.","",""
"ARTH 3310.","Art of the Medieval World.","",""
"ARTH 3315.","Early Renaissance Italian Art.","",""
"ARTH 3340.","Art of the United States.","",""
"ARTH 3353.","Pre-Columb Art & Arch.","",""
"ARTH 3355.","Spanish Col Art Americas.","",""
"ARTH 3357.","Art Mexico:Ancient to Modern.","",""
"ARTH 3366.","African Art.","",""
"ARTH 3385.","History of Architecture.","",""
"ARTH 3395.","Topics in Contemporary Art.","",""
"ARTH 3399.","Special Topics in Art History.","",""
"ARTH 4383.","Art History Seminar.","",""
"ARTH 4390.","Directed Study.","",""
"CERM 2304.","Ceramics I.","",""
"CERM 2314.","Ceramics II.","",""
"CERM 3304.","Ceramics III.","",""
"CERM 3314.","Ceramics IV.","",""
"CERM 3324.","Cermics V.","",""
"CERM 4304.","Ceramics VI.","",""
"CERM 4314.","Ceramics VII.","",""
"CERM 4324.","Special Problems in Ceramics.","",""
"DRAW 2308.","Adv Drawing I: Life Drawing.","",""
"DRAW 2318.","Advanced Drawing II.","",""
"DRAW 3318.","Advanced Drawing III.","",""
"DRAW 3328.","Advanced Drawing IV.","",""
"DRAW 3338.","Advanced Drawing V.","",""
"DRAW 4308.","Advanced Drawing VI.","",""
"DRAW 4318.","Advanced Drawing VII.","",""
"DRAW 4328.","Special Problems in Drawing.","",""
"MTLS 2303.","Metals I.","",""
"MTLS 2313.","Metals II.","",""
"MTLS 3303.","Metals III.","",""
"MTLS 3313.","Metals IV.","",""
"MTLS 3323.","Metals V.","",""
"MTLS 4303.","Metals VI.","",""
"MTLS 4313.","Metals VII.","",""
"MTLS 4323.","Special Problems In Metals.","",""
"PNTG 2301.","Painting I.","",""
"PNTG 2331.","Painting II.","",""
"PNTG 3301.","Painting III.","",""
"PNTG 3331.","Painting IV.","",""
"PNTG 3341.","Painting V.","",""
"PNTG 4301.","Painting VI.","",""
"PNTG 4331.","Painting VII.","",""
"PNTG 4341.","Special Problems in Painting.","",""
"PRNT 2305.","Printmaking I.","",""
"PRNT 2325.","Printmaking II.","",""
"PRNT 3305.","Printmaking III.","",""
"PRNT 3325.","Printmaking IV.","",""
"PRNT 3335.","Printmaking V.","",""
"PRNT 4305.","Printmaking VI.","",""
"PRNT 4325.","Printmaking VII.","",""
"PRNT 4335.","Special Problems-Printmaking.","",""
"SCUL 2302.","Sculpture I.","",""
"SCUL 2332.","Sculpture II.","",""
"SCUL 3302.","Sculpture III.","",""
"SCUL 3332.","Sculpture IV.","",""
"SCUL 3342.","Sculpture V.","",""
"SCUL 4302.","Sculpture VI.","",""
"SCUL 4332.","Sculpture VII.","",""
"SCUL 4342.","Special Problems in Sculpture.","",""
"BIOL 1103.","Introductory Biology Lab.","",""
"BIOL 1104.","Human Biology Laboratory.","",""
"BIOL 1107.","Topics in Study of Life I.","",""
"BIOL 1108.","Organismal Biology Laboratory.","",""
"BIOL 1203.","Introductory Biology.","",""
"BIOL 1303.","Introductory Biology (C).","",""
"BIOL 1304.","Human Biology.","",""
"BIOL 1305.","General Biology.","",""
"BIOL 1306.","Organismal Biology.","",""
"BIOL 2111.","Human Anat/Physio Lab I.","",""
"BIOL 2113.","Human Anat/Physio Lab II.","",""
"BIOL 2311.","Human Anat/Physiology I.","",""
"BIOL 2313.","Human Anat/Physiology II.","",""
"BIOL 2340.","Introductory Neuroscience.","",""
"BIOL 3115.","Molecular Cell Biol Laboratory.","",""
"BIOL 3117.","Ecology Laboratory.","",""
"BIOL 3192.","Professional Development Sem..","",""
"BIOL 3193.","Prof Development in Eco Evol.","",""
"BIOL 3314.","Molecular Cell Biology.","",""
"BIOL 3316.","Ecology.","",""
"BIOL 3320.","Genetics.","",""
"BIOL 3321.","Evolution.","",""
"BIOL 3330.","Histology.","",""
"BIOL 3342.","Plants and People.","",""
"BIOL 3351.","Toxicology.","",""
"BIOL 3357.","DNA Structure and Analysis.","",""
"BIOL 3360.","Quantitative Methods Ecology.","",""
"BIOL 3375.","Forensic Pathobiology.","",""
"BIOL 3417.","Plant Ecology.","",""
"BIOL 3427.","Desert Ecology.","",""
"BIOL 4119.","Soil Ecology Laboratory.","",""
"BIOL 4185.","Waterfowl Ecol. & Evol. Lab.","",""
"BIOL 4195.","Advanced Methods in Biology.","",""
"BIOL 4198.","Special Problems.","",""
"BIOL 4225.","Field Biology.","",""
"BIOL 4298.","Special Problems.","",""
"BIOL 4300.","Introduction to Bioinformatic.","",""
"BIOL 4315.","Population Genetics.","",""
"BIOL 4318.","Soil Ecology.","",""
"BIOL 4319.","G Protein-Coupled Recept Biol.","",""
"BIOL 4320.","Endocrinology.","",""
"BIOL 4321.","Developmental Biology.","",""
"BIOL 4324.","Animal Behavior.","",""
"BIOL 4325.","Field Biology.","",""
"BIOL 4327.","Animal Ecology.","",""
"BIOL 4330.","Cancer Biology.","",""
"BIOL 4350.","Cellular Neuroscience.","",""
"BIOL 4351.","Spatial Ecology.","",""
"BIOL 4360.","Aquatic Ecology.","",""
"BIOL 4370.","History/Philosophy-Biology.","",""
"BIOL 4375.","Neuroscience Capstone.","",""
"BIOL 4385.","Waterfowl Ecology & Evolution.","",""
"BIOL 4386.","Waterfowl Ecology & Management.","",""
"BIOL 4388.","Mammalian Physiology.","",""
"BIOL 4389.","Developmental Neurobiology.","",""
"BIOL 4390.","Biological Practicum.","",""
"BIOL 4395.","Topics in Biology.","",""
"BIOL 4398.","Special Problems.","",""
"BIOL 4428.","Global Change Ecology.","",""
"BIOL 4466.","Ecosystem Ecology.","",""
"BOT 2410.","General Botany.","",""
"BOT 3330.","Comparative Plant Morphology.","",""
"BOT 3437.","Plant Diversity & Systematics.","",""
"CBCH 3316.","Membrane Biology.","",""
"CBCH 4310.","Techniques in Mol Biochem.","",""
"CBCH 4320.","Adv Topics in Mil Biochem.","",""
"CBCH 4414.","Cellular Biochemistry.","",""
"FORS 3351.","Toxicology.","",""
"FORS 3357.","DNA Structure and Analysis.","",""
"FORS 3370.","Forensic Science I.","",""
"FORS 3371.","Forensic Biology.","",""
"FORS 3375.","Forensic Pathobiology.","",""
