"course_code","course_name","description","level"
"A I 388","Natural Language Processing.","Explore computational methods for syntactic and semantic analysis of structures representing meanings of natural language; study of current natural language processing systems; methods for computing outlines and discourse structures of descriptive text. Three lecture hours a week for one semester. Only one of the following may be counted: Artificial Intelligence 388 , Computer Science 388 , Data Science 388 , 395T (Topic: Natural Language Processing) Prerequisite: Graduate standing, and a course in artificial intelligence or consent of instructor.","Graduate Courses"
"A I 388J","Optimization.","Explore the background on convex sets and functions, linear programming, convex programming, and iterative first-order and second-order methods. Three lecture hours a week for one semester. Only one of the following may be counted: Artificial Intelligence 388J , Computer Science 388J , 395T (Topic: Optimization). Prerequisite: Graduate standing","Graduate Courses"
"A I 388K","Online Learning and Optimization.","Explore algorithms for convex optimization and algorithms for online learning. Focus on algorithms for large scale convex optimization. Discuss problems in machine learning. Apply these ideas to online learning. Three lecture hours a week for one semester. Only one of the following may be counted: Artificial Intelligence 388K , Computer Science 388K , 395T (Topic: Online Lrng/Optimization). Prerequisite: Graduate standing.","Graduate Courses"
"A I 388U","Planning, Search, and Reasoning Under Uncertainty.","Introduction to three key foundational problems in AI: planning, search, and reasoning under uncertainty. Investigate how to define planning domains, including representations for world states and actions, covering both symbolic and path planning. Study algorithms to efficiently find valid plans with or without optimality, and partially ordered, or fully specified solutions. Three lecture hours a week for one semester Only one of the following may be counted: Artificial Intelligence 388U , Computer Science 388U , 395T (Topic: Planning Search and Reasoning). Prerequisite: Graduate standing; and knowledge of undergraduate data structures, algorithms, and complexity; and prior knowledge in probability theory or statistics.","Graduate Courses"
"A I 389L","Automated Logical Reasoning.","Explore automated reasoning techniques for propositional logic, first-order logic, linear arithmetic over reals and integers, theory of uninterpreted functions, and combinations of these theories. Examine automated logical reasoning both from a theoretical and practical perspective, including building useful tools, such as SAT and SMT solvers. Three lecture hours a week for one semester. Only one of the following may be counted: Computer Science 389L , 395T (Topic: Automated Logical Reasoning), Artificial Intelligence 389L . Prerequisite: Graduate standing.","Graduate Courses"
"A I 391L","Machine Learning.","Explore computing systems that automatically improve their performance with experience, including various approaches to inductive classification such as version space, decision tree, rule-based, neural network, Bayesian, and instance-based methods; as well as computational learning theory, explanation-based learning, and knowledge refinement. Three lecture hours a week for one semester. Only one of the following may be counted: Artificial Intelligence 391L , Computer Science 391L , Data Science 391L . Prerequisite: Graduate standing, and Computer Science 381K or equivalent knowledge of artificial intelligence and LISP.","Graduate Courses"
"A I 394D","Deep Learning.","Explore the basic building blocks and intuitions behind designing, training, tuning, and monitoring of deep networks. Examine both the theory of deep learning, as well as hands-on implementation sessions in pytorch. Explore a series of application areas of deep networks in: computer vision, sequence modeling in natural language processing, deep reinforcement learning, generative modeling, and adversarial learning. Three lecture hours a week for one semester. Only one of the following may be counted: Artificial Intelligence 394D , Computer Science 394D , Data Science 394D , 395T (Topic: Deep Learning). Prerequisite: Graduate standing, and experience in artificial intelligence and machine learning.","Graduate Courses"
"A I 394R","Reinforcement Learning: Theory and Practice.","Introduction to the theory and practice of modern reinforcement learning, with emphasis on temporal difference learning algorithms. Three lecture hours a week for one semester. Only one of the following may be counted: Artificial Intelligence 394R , Computer Science 394R , Data Science 394R , 395T (Topic: Reinforcement Learning) Prerequisite: Graduate standing.","Graduate Courses"
"A I 395T","Topics in Artificial Intelligence.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing.","Graduate Courses"
"AAR 380","Topics in Applied Archaeology.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing.","Graduate Courses"
