"course_code","course_title","department","credits"
"ACG 2021C","PRINCIPLES OF FINANCIAL ACCOUNTING.","ACG: Accounting-General","3"
"ACG 2030C","CAPSTONE REVIEW COURSE OF ACCOUNTING PRINCIPLES.","ACG: Accounting-General","3"
"ACG 2071C","PRINCIPLES OF MANAGERIAL ACCOUNTING.","ACG: Accounting-General","3"
"ACG 2100C","INTERMEDIATE ACCOUNTING I.","ACG: Accounting-General","3"
"ACG 2110C","INTERMEDIATE ACCOUNTING II.","ACG: Accounting-General","3"
"ACG 2360C","COST ACCOUNTING.","ACG: Accounting-General","3"
"ACG 2450C","COMPUTER ACCOUNTING.","ACG: Accounting-General","3"
"ACG 2460C","SPREADSHEETS FOR ACCOUNTING.","ACG: Accounting-General","3"
"ACG 3024","ACCOUNTING AND FINANCIAL ANALYSIS FOR MANAGERS.","ACG: Accounting-General","3"
"AFA 2000","INTRODUCTION TO THE AFRICAN-AMERICAN EXPERIENCE..","AFA: Afro-American Studies","3"
"AMH 2010","UNITED STATES HISTORY TO 1877.","AMH: American History","3"
"AMH 2010H","UNITED STATES HISTORY TO 1877 - HONORS.","AMH: American History","3"
"AMH 2020","U.S. HISTORY 1877 TO PRESENT.","AMH: American History","3"
"AMH 2020H","UNITED STATES HISTORY 1877 TO PRESENT - HONORS.","AMH: American History","3"
"AML 2011","SURVEY IN AMERICAN LITERATURE COLONIAL PERIOD TO CIVIL WAR.","AML: American Literature","3"
"AML 2011H","SURVEY IN AMERICAN LITERATURE: COLONIAL PERIOD TO CIVIL WAR-HONORS.","AML: American Literature","3"
"AML 2021","SURVEY IN AMERICAN LITERATURE:  CIVIL WAR TO PRESENT.","AML: American Literature","3"
"ANT 2000","INTRODUCTORY ANTHROPOLOGY.","ANT: Anthropology","3"
"ANT 2000H","INTRODUCTORY ANTHROPOLOGY - HONORS.","ANT: Anthropology","3"
"ANT 2140","INTRO TO ARCHAEOLOGY.","ANT: Anthropology","3"
"ANT 2410","CULTURAL ANTHROPOLOGY.","ANT: Anthropology","3"
"ANT 2410H","CULTURAL ANTHROPOLOGY HONORS.","ANT: Anthropology","3"
"ANT 2930","SELECTED TOPICS IN  ANTHROPOLOGY.","ANT: Anthropology","1-3"
"ANT 2941","INTERNSHIP EXPLORATION IN ANTHROPOLOGY.","ANT: Anthropology","1-4"
"AOM 1050C","INTRODUCTION TO ORGANIC FARMING AND GARDENING TECHNICIAN.","AOM: Agricult Operations Mngt","3"
"AOM 1465C","INTRODUCTION TO SUSTAINABLE AGRICULTURE.","AOM: Agricult Operations Mngt","3"
"AOM 2012C","TYPES & SYSTEMS OF AGRICULTURE OPERATIONS.","AOM: Agricult Operations Mngt","3"
"APA 1111C","COLLEGE ACCOUNTING.","APA: Applied Accounting","3"
"APA 2501","PAYROLL ACCOUNTING.","APA: Applied Accounting","3"
"APA 2934","SELECTED TOPICS IN ACCOUNTING.","APA: Applied Accounting","1-3"
"APA 2941","INTERNSHIP EXPLORATION IN ACCOUNTING.","APA: Applied Accounting","1-4"
"APA 2942","INTERNSHIP IN ACCOUNTING.","APA: Applied Accounting","1-4"
"ARA 1120","ELEMENTARY ARABIC I.","ARA: Arabic","4"
"ARA 1121","ELEMENTARY ARABIC II.","ARA: Arabic","4"
"ARC 1201C","THEORY OF ARCHITECTURE.","ARC: Architecture","2"
"ARC 1301C","ARCHITECTURAL DESIGN I.","ARC: Architecture","4"
"ARC 1302C","ARCHITECTURAL DESIGN II.","ARC: Architecture","4"
"ARC 1701","HISTORY OF ARCHITECTURE I.","ARC: Architecture","3"
"ARC 1701C","HISTORY OF ARCHITECTURE I.","ARC: Architecture","3"
"ARC 2180C","INTRODUCTION TO DIGITAL ARCHITECTURE.","ARC: Architecture","3"
"ARC 2303C","ARCHITECTURAL DESIGN III.","ARC: Architecture","5"
"ARC 2304C","ARCHITECTURAL DESIGN IV.","ARC: Architecture","5"
"ARC 2461","MATERIALS AND METHODS OF CONSTRUCTION.","ARC: Architecture","4"
"ARC 2702","HISTORY OF ARCHITECTURE II.","ARC: Architecture","3"
"ARE 2000","ART AND CREATIVITY.","ARE: Art Education","3"
"ARH 1000","ART APPRECIATION.","ARH: Art History","3"
"ARH 1000H","ART APPRECIATION - HONORS.","ARH: Art History","3"
"ARH 2050","INTRODUCTION TO ART HISTORY I.","ARH: Art History","3"
"ARH 2051","INTRODUCTION TO ART HISTORY II.","ARH: Art History","3"
"ARH 2930","SELECTED TOPICS IN ART.","ARH: Art History","1-3"
"ART 1152C","METAL CASTING.","ART: Art","3"
"ART 1201C","DESIGN I.","ART: Art","3"
"ART 1203C","DESIGN II.","ART: Art","3"
"ART 1300C","DRAWING I.","ART: Art","3"
"ART 1301C","DRAWING II.","ART: Art","3"
"ART 2330C","LIFE DRAWING.","ART: Art","3"
"ART 2400C","PRINTMAKING I.","ART: Art","3"
"ART 2401C","PRINTMAKING II.","ART: Art","3"
"ART 2500C","PAINTING I (FORMERLY ART 2510C).","ART: Art","3"
"ART 2501C","PAINTING II.","ART: Art","3"
"ART 2701C","SCULPTURE I.","ART: Art","3"
"ART 2702C","SCULPTURE II.","ART: Art","3"
"ART 2750C","CERAMICS I  (FORMERLY ART 2110C).","ART: Art","3"
"ART 2751C","CERAMICS II (FORMERLY ART 2111C).","ART: Art","3"
"ART 2774L","EXPLORATIONS IN CLAY.","ART: Art","1"
"ART 2930C","SELECTED TOPICS IN ART.","ART: Art","1-3"
"ART 2941","INTERNSHIP EXPLORATION IN ART AND FINE ARTS.","ART: Art","1-4"
"ASC 2870","AVIATION SAFETY MANAGEMENT SYSTEMS AND OPERATIONAL RISK.","ASC: Aviation Science","3"
"ASL 2140","AMERICAN SIGN LANGUAGE I.","ASL: American Sign Language","4"
