"code","level","title","credits","subject","description"
"ACCT1125","lowerDivisionUndergraduate","Supplemental Instruction to Financial Accounting",1,"Accounting","Collaborative workshop for students to provide additional problem solving necessary for students to master financial accounting."
"ACCT2110","lowerDivisionUndergraduate","Principles of Accounting I",3,"Accounting","An introduction to financial accounting concepts emphasizing the analysis of business transactions in accordance with generally accepted accounting principles (GAAP), the effect of these transactions on the financial statements, financial analysis, and the interrelationships of the financial statements."
"ACCT2110X","lowerDivisionUndergraduate","Principles of Accounting IA",3,"Accounting","An introduction to financial accounting concepts emphasizing the analysis of business transactions in accordance with generally accepted accounting principles (GAAP), the effect of these transactions on the financial statements, financial analysis, and the interrelationships of the financial statements."
"ACCT2110Y","lowerDivisionUndergraduate","Principles of Accounting IB",3,"Accounting","A continuation of 2110X emphasizing accounting principles and procedures for receivables, inventory, notes and interest, depreciation, equity transactions, cash flow and financial statement analysis.
"
"ACCT2120","lowerDivisionUndergraduate","Principles of Accounting II",3,"Accounting","An introduction to the use of accounting information in the management decision making processes of planning, implementing, and controlling business activities.  In addition, the course will discuss the accumulation and classification of costs as well as demonstrate the difference between costing systems.
"
"AFAS300","upperDivisionUndergraduate","Leading People and Effective Communication",3,"Air Force Aerospace Studies","Utilizes cadets field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader."
"AFAS300L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only.
"
"AFAS301","upperDivisionUndergraduate","Leading People and Effective Communication",3,"Air Force Aerospace Studies","Utilizes cadets field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader."
"AFAS301L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only. "
"AFAS325","upperDivisionUndergraduate","Air Force ROTC Directed Studies","{'min': 1, 'max': 3}","Air Force Aerospace Studies","This course provides the opportunity for individual directed studies of advanced subjects under supervision of designated AFROTC faculty.
Restriction: permission of department."
"AFAS329","upperDivisionUndergraduate","Active Duty Physical Training Preparation",1,"Air Force Aerospace Studies","Course prepares Field Training (FT) Preparation cadets for their roles as military leaders by teaching various ways to conduct military fitness training. Goal is to expose cadets to many training methods while instilling AF physical fitness standards. 
Offered on a CR/NC basis only. 
Restriction: permission of instructor."
"AFAS350","upperDivisionUndergraduate","Air Force ROTC Field Training",3,"Air Force Aerospace Studies","Required summer field training program, which is an integral and mandatory part of the AFROTC commissioning process. This course completes the GMC program of study and is only open to AFROTC Cadets.
Offered on a CR/NC basis only.
Restriction: permission of department."
"AFAS400","upperDivisionUndergraduate","National Security, Leadership Responsibilities and Commissioning Preparation",3,"Air Force Aerospace Studies","Overview of the complex social and political issues facing the military profession and gives the foundation to understand the role of military officers and how they are directly tied to our National Security Strategy.
"
"AFAS400L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only."
"AFAS401","upperDivisionUndergraduate","National Security, Leadership Responsibilities and Commissioning Preparation",3,"Air Force Aerospace Studies","Overview of the complex social and political issues facing the military profession and gives the foundation to understand the role of military officers and how they are directly tied to our National Security Strategy.
"
"AFAS401L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only."
