"subject","course_code","course_name","description","credits"
"","ACE 100","Academic and Career Exploration","Introduction to the development of skills and knowledge necessary for academic major/career exploration and informed decision making. Credit may be earned in one of ACE 100, or ACE 210. Prerequisite(s): Limited to undecided students. Grading Basis: Graded Units of Lecture: 1 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. develop research and critical thinking skills by learning how to find, use, evaluate, and apply multiple resources and knowledge related to academic and career decision-making. 2. integrate self-assessment results and the influence and impact on academic and career choice. 3. demonstrate enhanced understanding of the decision making process and the development of short and long term action plans for academic and career pursuit. 4. demonstrate knowledge of university/campus resources available to support your personal and academic success. 5. identify and apply effective approaches to: time management; goal setting; critical thinking; written and verbal communication.","1 unit"
"","ACE 101","Pre-Health Professions Preparations","Identification of resources, requirements and development of a well-informed action plan in preparation for applying to health professions in medicine, dental, pharmacy, physician assistant, optometry, PT and OT.  Recommended for Freshmen and Sophomore students.  Content not applicable to nursing majors. Maximum units a student may earn: 1 Grading Basis: Graded Units of Lecture: 1 Offered: Every Fall and Summer Student Learning Outcomes Upon completion of this course, students will be able to: 1. develop research and critical thinking skills by learning how to find, use, evaluate, and apply multiple resources and knowledge related to academic and career decision-making process. 2. integrate self-assessment results to understand the influence and impact of pre-professional academic and career choice. 3. demonstrate understanding of the Experience, Metrics and Attributes (EAM) admissions qualifiers for entrance into pre-professional fields. 4. demonstrate knowledge of university/campus resources available to support your personal and academic success. 5. identify and apply effective approaches to: time management, goal setting, mindfulness, contemplative thinking, and written and verbal communication.","1 unit"
"","ACE 109","NevadaFIT (Freshmen Intensive Transition)","A five-day intensive academic program emulating the rigors of college in a low-stakes learning environment. (ABNR 109, ACE 109, BUS 109, COLA 109, EDU 109, ENGR 109, JOUR 109, PBH 109, PSY 109, SCI 109, SW 109, and SPA 109 are cross-listed; credit may be earned in one of the eleven). Maximum units a student may earn: 1 Prerequisite(s): first-semester freshmen standing. Grading Basis: Satisfactory/Unsatisfactory Units of Lecture: 1 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify the expectations for success in college-level examinations, homework assignments and laboratories. 2. apply learning and study strategies and time management skills to enhance academic success. 3. interact appropriately, comfortably and successfully with University faculty staff, and peers. 4. identify and use University, College, and Department resources to support academic goals.","1 unit"
"","ACE 110","First Year Experience","Development of academic skills and knowledge necessary for educational success. Exploration of issues and trends including theory and application of principles related to the discipline. Grading Basis: Graded Units of Lecture: 1 Units of Discussion/Recitation: 1 Offered: Every Fall, Spring, and Summer Student Learning Outcomes Upon completion of this course, students will be able to: 1. develop research and critical thinking skills by learning how to find, use, evaluate, and apply multiple resources and knowledge related to college success. 2. demonstrate knowledge of university/campus resources available to support personal and academic success. 3. identify and apply effective approaches to: time management; goal setting; critical thinking; written and verbal communication.","2 units"
"","ACE 210","Academic and Career Decision-Making","Development and evaluation of self-knowledge, research, and decision-making skill necessary to make informed choices related to academic and career options. Prerequisite(s): Sophomore standing. Grading Basis: Graded Units of Lecture: 1 Offered: Every Fall and Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. evaluate your current status specific to academic and career decision-making. If you have not declared, how undecided are you? How committed are you to a major you have declared? 2. demonstrate awareness and understanding by assessing interests, skills, values, personality and decision-making styles and the impact these characteristics have on academic and career satisfaction and success. 3. examine the influences family, social networks, community, and culture have on academic and career choices. 4. use and apply appropriate resources and various methods of research to develop and act upon a plan leading to declaration of a major and the insight necessary to effectively continue career exploration. 5. perform and conduct faculty and professional (employer) informational interviews.","1 unit"
"","ACE 310","Building Community Through Technology","An experiential learning course for transfer students to ease their transition to the University. This course welcomes students and highlights campus resources available to the university community while offering students a unique opportunity for building community with peers. Assignments focus on community engagement, ethics, and technology. Students work in teams to design functional mobile app prototypes, exploring the app design process from brainstorming to user testing—no coding required. Maximum units a student may earn: 3 Prerequisite(s): , transfer student, first semester standing Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify available academic and career resources, and assess how effectively these resources support their own needs and those of the broader student community. 2. identify how technology and tech companies connect individuals, institutions and communities and the cultural implications of this connectivity. 3. consider strategies and responsibilities technology companies have in narrowing the digital divide. 4. critically asses how apps provide experiences and accommodations for diverse populations. 5. apply course themes to the creation of an app.","3 units CO9"
"","ACE 400","Career Studio Internship Program","Professionally supervised work experience in government or private entity, providing students with practical experiences. Does not substitute for departmental internship requirements. Maximum units a student may earn: 6 Grading Basis: Satisfactory/Unsatisfactory Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify, assess, and develop personal and professional strengths. 2. identify areas of professional development and develop strategies to improve in those areas. 3. apply academic knowledge to solve practical, real-world problems in a professional setting. 4. develop professionally relevant competencies and relationships in a professional setting. 5. evaluate career choices and further define career goals. 6. evaluate one’s own performance in light of one’s expressed learning objectives.","1 to 3 units"
"","NCED 301","P2I Internship or Work Experience","This course gives P2I students the chance to acquire practical knowledge and skills through a structured work experience in their chosen career field.  The workplace experiences are entry-level experiences that allow students to build workplace competencies and are an opportunity to explore various career paths. Maximum units a student may earn: 6 Prerequisite(s): Admission to the Path to Independence program and in their second year.` Completion of Pre-Employment Transition Services (Pre-ETS). Grading Basis: Satisfactory/Unsatisfactory Units of Discussion/Recitation: 1 Units of Internship/Practicum: 2 Offered: Every Fall and Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. explore career options aligned with personal strengths and interests, conduct informational interviews, and analyze job tasks to identify potential career pathways. 2. develop effective communication skills necessary for employment, including writing professional correspondence (thank you letters, cover letters), delivering elevator speeches, and participating in mock interviews. 3. acquire knowledge of workplace expectations, including punctuality, time management, appropriate workplace behavior, and awareness of disability rights and accommodations. 4. demonstrate the documentation process required when applying for a job.","3 units"
"","NCED 302","P2I Capstone","This capstone course aligns the components of the P2I program and culminates in the development of an employment portfolio. Students will reflect on their experiences within P2I, including their work-based learning, academic coursework, personal strengths, and develop key competencies necessary for entering the workforce. The portfolio will include essential tools (e.g. a resume and cover letter) and professional resources to prepare students for future job searches. Maximum units a student may earn: 3 Prerequisite(s): Admission to the Path to Independence program and in the final semester Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. explore career options aligned with personal strengths and interests, conduct informational interviews, and analyze job tasks to identify potential career pathways. 2. develop effective communication skills necessary for employment, including writing professional correspondence (thank you letters, cover letters), delivering elevator speeches, and participating in mock interviews. 3. describe workplace expectations, including punctuality, time management, appropriate workplace behavior, and awareness of disability rights and accommodations.","3 units"
"Accounting","ACC 201","Financial Accounting","Purpose and nature of accounting, measuring business income, accounting principles, assets and equity accounting for external financial reporting. Prerequisite(s): Sophomore standing; or or or or or or or or or . Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall, Spring, and Summer Student Learning Outcomes Upon completion of this course, students will be able to: 1. accurately apply financial terminology used in business transactions and the classification of accounts for the purpose of learning to read and comprehend financial statements. 2. analyze and record business transactions in a financial accounting system. 3. successfully model the accounting cycle. 4. prepare Financial Statements in accordance with Generally Accepted Accounting Principles (GAAP).","3 units"
